English	Polish
Bernhard Riemann	Bernhard Riemann
Berry	Jagoda (botanika)
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beryl (minerał)
Beryllium	Beryl (pierwiastek)
Beta (letter)	Beta
Beta decay	Rozpad beta
Betelgeuse	Betelgeza
Bethlehem	Betlejem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills (Kalifornia)
Bey	Bej
Bhutan	Bhutan
Bhutan	Kategoria:Bhutan
Bible	Biblia
Bible	Kategoria:Biblia
Bibliography	Bibliografia
Bicycle	Rower
Big Bang	Wielki Wybuch
Bihar	Bihar
Bikini	Bikini
Bile	Żółć
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Gwiazda podwójna
Binoculars	Lorneta
Biochemistry	Biochemia
Biochemistry	Kategoria:Biochemia
Biodiversity	Różnorodność biologiczna
Biogeography	Biogeografia
Biography	Biografia
Biography	Portal:Biografie
Biological warfare	Broń biologiczna
Biology	Biologia
Biology	Kategoria:Biologia
Biology	Portal:Biologia
Biomass	Biomasa
Biome	Biom
Biometrics	Biometria
Biophysics	Biofizyka
Biopsy	Biopsja
Biosphere	Biosfera
Biotechnology	Biotechnologia
Biotechnology	Kategoria:Biotechnologia
Biotin	Biotyna
Bipolar disorder	Choroba afektywna dwubiegunowa
Birch	Brzoza
Bird	Ptaki
Birmingham	Birmingham (Alabama)
Birth control	Antykoncepcja
Bisexuality	Biseksualizm
Bishkek	Biszkek
Bishop	Biskup
Bishop (chess)	Goniec (szachy)
Bismarck	Bismarck (Dakota Północna)
Bismarck (disambiguation)	Bismarck
Bismuth	Bizmut
Bissau	Bissau
Bit	Bit
Bithynia	Bitynia
Bivalvia	Małże
Black	Barwa czarna
Black Death	Czarna śmierć
Black Forest	Schwarzwald
Black Kite	Kania czarna
Black Sea	Morze Czarne
Black Stork	Bocian czarny
Black body	Ciało doskonale czarne
Black hole	Czarna dziura
Black pepper	Pieprz czarny
Blackbird	Kos
Blaise Pascal	Blaise Pascal
Blender (software)	Blender (program)
Blindness	Ślepota
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Krew
Blood plasma	Osocze krwi
Blood pressure	Ciśnienie tętnicze
Blood type	Grupy krwi
Blue	Barwa niebieska
Blue Whale	Płetwal błękitny
Blues	Blues
Boar	Dzik
Board game	Gra planszowa
Boat	Łódź (jednostka pływająca)
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobsleje
Bodhisattva	Bodhisattwa
Body mass index	BMI (wskaźnik)
Bodybuilding	Kulturystyka
Bohemia	Czechy (kraina)
Bohrium	Bohr (pierwiastek)
Boiling point	Temperatura wrzenia
Boise	Boise (Idaho)
Boletus edulis	Borowik szlachetny
Bolivia	Boliwia
Bolivia	Kategoria:Boliwia
Bollywood	Bollywood
Bologna	Bolonia
Bolshevik	Bolszewicy
Bolzano	Bolzano
Bomb	Bomba
Bomber	Samolot bombowy
Bombyx mori	Jedwabnik morwowy
Bond (finance)	Obligacja
Bone	Kość (anatomia)
Bone marrow	Szpik kostny
Bonn	Bonn
Bonsai	Bonsai
Book	Książka
Book of Esther	Księga Estery
Book of Joshua	Księga Jozuego
Book of Judges	Księga Sędziów
Book of Mormon	Księga Mormona
Book of Numbers	Księga Liczb
Book of Revelation	Apokalipsa Świętego Jana
Book of Ruth	Księga Rut
Boolean algebra (structure)	Algebra Boole'a
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Godunov	Borys Godunow
Boris Pasternak	Borys Pasternak
Boris Spassky	Borys Spasski
Borneo	Borneo
Boron	Bor
Bosnia and Herzegovina	Bośnia i Hercegowina
Bosnia and Herzegovina	Kategoria:Bośnia i Hercegowina
Boson	Bozon
Bosporus	Bosfor
Boston	Boston
Boston Tea Party	Herbatka bostońska
Bot	Szablon:Bot
Botanical garden	Ogród botaniczny
Botany	Botanika
Botany	Kategoria:Botanika
Botswana	Botswana
Botswana	Kategoria:Botswana
Bottle	Butelka
Bottlenose Dolphin	Butlonos
Bourgeoisie	Burżuazja
Bourgogne	Burgundia
Bouvet Island	Wyspa Bouveta
Bovid	Krętorogie
Bow (weapon)	Łuk
Boxer (dog)	Bokser (rasa psów)
Boxers	Kategoria:Bokserzy
Boxing	Boks
Boxing	Kategoria:Boks
Boyle's law	Prawo Boyle'a-Mariotte'a
Bracket	Nawias
Braga	Braga
Brahma	Brahma
Brahmaputra River	Brahmaputra
Braille	Alfabet Braille'a
Brain	Kresomózgowie
Brainstorming	Burza mózgów
Bram Stoker	Bram Stoker
Brandenburg	Brandenburgia
Brandy	Brandy
Brass	Mosiądz
Brassicaceae	Kapustowate
Brassiere	Biustonosz
Bratislava	Bratysława
Braunschweig	Brunszwik
Brazil	Brazylia
Brazil	Kategoria:Brazylia
Brazzaville	Brazzaville
Bread	Chleb
Breast	Sutek
Breast cancer	Rak sutka
Bremen	Brema
Bremen (state)	Brema (kraj związkowy)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest
Brest	Brześć
Brest	Brest (ujednoznacznienie)
Bretagne	Bretania
Brick	Cegła
Bridge	Most
Bridges	Kategoria:Mosty i wiadukty
Bridgetown	Bridgetown
Brigade	Brygada
Brighton	Brighton (Anglia)
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Kolumbia Brytyjska
British Empire	Imperium brytyjskie
British Isles	Wyspy Brytyjskie
British Virgin Islands	Brytyjskie Wyspy Dziewicze
British people	Kategoria:Brytyjczycy
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Brokuł
Bromine	Brom
Bronze	Brązy
Bronze Age	Epoka brązu
Brooklyn	Brooklyn
Brooklyn Bridge	Most Brookliński
Brown	Barwa brązowa
Brown Bear	Niedźwiedź brunatny
Brownian motion	Ruchy Browna
Bruce Lee	Bruce Lee
Bruges	Brugia
Brunei	Brunei
Brunei	Kategoria:Brunei
Brussels	Bruksela
Bubonic plague	Dżuma
Bucharest	Bukareszt
Buckingham Palace	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Buckwheat	Gryka zwyczajna
Budapest	Budapeszt
Buddha	Budda
Buddhism	Buddyzm
Buddhism	Kategoria:Buddyzm
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo (Nowy Jork)
Building	Budynek
Bujumbura	Bużumbura
Bulgaria	Bułgaria
Bulgaria	Kategoria:Bułgaria
Bumblebee	Trzmiel
Buoyancy	Prawo Archimedesa
Bureaucracy	Biurokracja
Burgomaster	Burmistrz
Burkina Faso	Burkina Faso
Burkina Faso	Kategoria:Burkina Faso
Burma	Birma
Burma	Kategoria:Birma
Burqa	Burka
Bursa	Bursa (miasto)
Burundi	Kategoria:Burundi
Bus	Autobus
Bus (computing)	Magistrala (informatyka)
Business	Przedsiębiorstwo (ekonomia)
Businesspeople	Kategoria:Przedsiębiorcy
Buster Keaton	Buster Keaton
Butane	Butan
Butter	Masło
Butterfly	Motyle dzienne
Butterfly effect	Efekt motyla
Bydgoszcz	Bydgoszcz
Byte	Bajt (informatyka)
Byzantine Empire	Kategoria:Bizancjum
C	C
C (programming language)	C (język programowania)
C. S. Lewis	Clive Staples Lewis
CD (disambiguation)	CD
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaret
Cacao	Kakaowiec właściwy
Cache	Cache
Cactus	Kaktusowate
Cadmium	Kadm
Cadmus	Kadmos
Caelum	Rylec (gwiazdozbiór)
Caesium	Cez
Caffeine	Kofeina
Cairo	Kair
Cake	Ciasto
Calabria	Kalabria
Calais	Calais
Calcite	Kalcyt
Calcium	Wapń
Calcium carbonate	Węglan wapnia
Calcium oxide	Tlenek wapnia
Calculator	Kalkulator
Calculus	Rachunek różniczkowy i całkowy
Caldera	Kaldera
Calendar	Kalendarz
Caliber	Kaliber broni
California	Kalifornia
California	Kategoria:Kalifornia
Californium	Kaliforn
Caligula	Kaligula
Caliph	Kalif
Caliphate	Kalifat
Calligraphy	Kaligrafia
Calliope	Kalliope (mitologia)
Callisto (moon)	Kallisto (księżyc)
Callisto (mythology)	Kallisto (mitologia)
Calorie	Kaloria
Calvados	Calvados (departament)
Calvary	Golgota
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalwinizm
Calypso (mythology)	Kalipso (mitologia)
Cambodia	Kambodża
Cambodia	Kategoria:Kambodża
Cambrian	Kambr
Cambridge	Cambridge (miasto w Anglii)
Cambridge	Cambridge (Massachusetts)
Cambridge (disambiguation)	Cambridge
Camel	Wielbłąd
Camembert (cheese)	Camembert (ser)
Camera	Aparat fotograficzny
Cameroon	Kamerun
Cameroon	Kategoria:Kamerun
Campania	Kampania (region)
Canada	Kanada
Canada	Kategoria:Kanada
Canadian dollar	Dolar kanadyjski
Canal	Kanał wodny
Canary Islands	Wyspy Kanaryjskie
Canary Islands	Kategoria:Wyspy Kanaryjskie
Canberra	Canberra
Cancer	Nowotwór złośliwy
Cancer (constellation)	Rak (gwiazdozbiór)
Candela	Kandela
Candle	Świeca
Canidae	Psowate
Canis Major	Wielki Pies
Canis Minor	Mały Pies
Cannabis (drug)	Marihuana
Cannes	Cannes
Cannibalism	Kanibalizm
Cannon	Armata
Canoe	Kanadyjka (łódź)
Canon (company)	Canon
Canopus	Kanopus
Cantata	Kantata
Canterbury	Canterbury
Cantonese (linguistics)	Język kantoński
Canute the Great	Kanut Wielki
Capacitance	Pojemność elektryczna
Capacitor	Kondensator
Cape Canaveral	Przylądek Canaveral
Cape Horn	Przylądek Horn
Cape Town	Kapsztad
Cape Verde	Republika Zielonego Przylądka
Cape Verde	Kategoria:Republika Zielonego Przylądka
Cape of Good Hope	Przylądek Dobrej Nadziei
Capital	Stolica
Capital (economics)	Kapitał (ekonomia)
Capital punishment	Kara śmierci
Capitalism	Kapitalizm
Cappadocia	Kapadocja
Capricornus	Koziorożec (gwiazdozbiór)
Capsicum	Papryka
Caracal	Karakal
Caracas	Caracas
Carambola	Oskomian pospolity
Carat (mass)	Karat
Carat (purity)	Karat
Caravaggio	Michelangelo Merisi da Caravaggio
Carbohydrate	Węglowodany
Carbon	Węgiel (pierwiastek)
Carbon cycle	Obieg węgla w przyrodzie
Carbon dioxide	Dwutlenek węgla
Carbon monoxide	Tlenek węgla
Carbonic acid	Kwas węglowy
Carboniferous	Karbon (okres)
Carboxylic acid	Kwasy karboksylowe
Carburetor	Gaźnik
Card game	Gra karciana
Cardamom	Kardamon
Cardiff	Cardiff
Cardinal (Catholicism)	Kardynał
Cardinal Richelieu	Armand Jean Richelieu
Cardiology	Kardiologia
Cardiology	Kategoria:Kardiologia
Cardiovascular system	Kategoria:Układ krążenia człowieka
Caribbean	Karaiby
Caribbean	Kategoria:Karaiby
Caribbean Sea	Morze Karaibskie
Caricature	Karykatura
Carina (constellation)	Kil (gwiazdozbiór)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Karnawał
Carnivora	Drapieżne
Carnivore	Zoofag
Carnivorous plant	Roślina mięsożerna
Carolingian dynasty	Karolingowie
Carolus Linnaeus	Karol Linneusz
Carpathian Mountains	Karpaty
Carrot	Marchew zwyczajna
Carson City	Carson City (Nevada)
Cartagena	Cartagena (Hiszpania)
Cartesian coordinate system	Układ współrzędnych kartezjańskich
Cartesian product	Iloczyn kartezjański
Carthage	Kartagina
Cartography	Kartografia
Cartography	Kategoria:Kartografia
Cary Grant	Cary Grant
Caryophyllales	Goździkowce
Casablanca	Casablanca
Cashew	Nanercz zachodni
Casino	Kasyno
Caspian Sea	Morze Kaspijskie
Cassandra	Kasandra (mitologia)
Cassiopeia (constellation)	Kasjopeja (gwiazdozbiór)
Cast iron	Żeliwo
Caste	System kastowy
Castile (historical region)	Kastylia
Castle	Zamek
Castling	Roszada
Castries	Castries (Saint Lucia)
Casus belli	Casus belli
Cat	Kot
Catalonia	Katalonia
Catalonia	Kategoria:Katalonia
Catalysis	Katalizator
Cataphract	Katafrakt
Cataract	Zaćma
Catfish	Sumokształtne
Catharism	Katarzy
Cathedral	Katedra (budynek)
Catherine Parr	Katarzyna Parr
Catherine of Aragon	Katarzyna Aragońska
Cathode	Katoda
Catholicism	Katolicyzm
Cattle	Krowa
Cattle Egret	Czapla złotawa
Catullus	Katullus
Caucasus	Kaukaz (kraina historyczna)
Caucasus	Kategoria:Kaukaz
Caucasus Mountains	Kaukaz (pasmo górskie)
Cauliflower	Kalafior
Causality	Przyczynowość
Cavalry	Jazda
Cave	Jaskinia
Caviar	Kawior
Cayenne	Kajenna
Cayman Islands	Kajmany (wyspy)
Cecil Rhodes	Cecil Rhodes
Cedar	Cedr
Celery	Seler zwyczajny
Celestial equator	Równik niebieski
Celestial mechanics	Kategoria:Mechanika nieba
Celestial mechanics	Mechanika nieba
Celestial sphere	Sfera niebieska
Celibacy	Celibat
Cell (biology)	Komórka
Cell membrane	Błona komórkowa
Cell nucleus	Jądro komórkowe
Cell wall	Ściana komórkowa
Cello	Wiolonczela
Cellulose	Celuloza
Celsius	Skala Celsjusza
Cement	Cement
Cemetery	Cmentarz
Cenozoic	Era kenozoiczna
Census	Spis statystyczny
Centaur	Centaur (mitologia)
Centaurus	Centaur (gwiazdozbiór)
Center of mass	Środek masy
Centimetre	Centymetr
Central Africa	Afryka Środkowa
Central African Republic	Republika Środkowoafrykańska
Central African Republic	Kategoria:Republika Środkowoafrykańska
Central America	Ameryka Centralna
Central Intelligence Agency	Centralna Agencja Wywiadowcza
Central Park	Central Park
Central Powers	Państwa centralne
Central bank	Bank centralny
Central nervous system	Ośrodkowy układ nerwowy
Central processing unit	Procesor
Centre	Centre
Centriole	Centriola
Century	Wiek
Cephalopod	Głowonogi
Cepheus (constellation)	Cefeusz (gwiazdozbiór)
Ceramic	Ceramika
Cerberus	Cerber
Cereal	Zboża
Cerebellum	Móżdżek
Ceres	Ceres
Ceres (dwarf planet)	1 Ceres
Ceres (mythology)	Ceres (mitologia)
Cerium	Cer
Cesare Borgia	Cezar Borgia
Cestoda	Tasiemce
Cetacea	Walenie
Cetus	Wieloryb (gwiazdozbiór)
Chad	Czad
Chad	Kategoria:Czad
Chaffinch	Zięba
Chair	Krzesło
Chalcedony	Chalcedon (minerał)
Chamaeleon	Kameleon (gwiazdozbiór)
Chamois	Kozica
Champagne (wine)	Szampan
Champagne-Ardenne	Szampania-Ardeny
Channel Tunnel	Eurotunel
Chaos (mythology)	Chaos (mitologia)
Charadriiformes	Siewkowe
Charlemagne	Karol Wielki
Charleroi	Charleroi
Charles	Karol Mountbatten-Windsor
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Karol Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Sanders Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Karol II Łysy
Charleston	Charleston (Wirginia Zachodnia)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte (Karolina Północna)
Charmed	Czarodziejki
Charon (moon)	Charon (księżyc)
Charon (mythology)	Charon (mitologia)
Chartres	Chartres
Chauvinism	Szowinizm
Che Guevara	Ernesto Guevara
Chechnya	Czeczenia
Chechnya	Kategoria:Czeczenia
Cheese	Ser
Cheetah	Gepard
Chelyabinsk	Czelabińsk
Chemical bond	Wiązanie chemiczne
Chemical compound	Związki chemiczne
Chemical element	Pierwiastek chemiczny
Chemical engineering	Inżynieria chemiczna
Chemical formula	Symbolika chemiczna
Chemical reaction	Reakcja chemiczna
Chemical warfare	Broń chemiczna
Chemistry	Chemia
Chemistry	Kategoria:Chemia
Chemistry	Portal:Chemia
Chemnitz	Chemnitz
Chemotherapy	Chemioterapia
Chennai	Madras
Cheque	Czek
Chernobyl	Czarnobyl
Cherry	Wiśnia
Chert	Krzemień
Cherub	Cheruby
Chess	Szachy
Chess	Kategoria:Szachy
Chess opening	Otwarcie szachowe
Chester A. Arthur	Chester Arthur
Chestnut	Kasztan
Chewing gum	Guma do żucia
Cheyenne	Cheyenne (Wyoming)
Chi (letter)	Chi (litera)
Chiang Kai-shek	Czang Kaj-szek
Chicago	Chicago
Chicken	Kura domowa
Chickenpox	Ospa wietrzna
Chickpea	Ciecierzyca pospolita
Chihuahua	Chihuahua (stan)
Child	Dziecko
Childbirth	Poród
Chile	Chile
Chile	Kategoria:Chile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Chimera (mitologia)
Chimpanzee	Szympans
China	Kategoria:Chiny
China	Chiny (ujednoznacznienie)
Chios	Chios
Chiron	Chiron (mitologia)
Chitin	Chityna
Chlorine	Chlor
Chloroform	Chloroform
Chlorophyll	Chlorofil
Chloroplast	Chloroplast
Chocolate	Czekolada
Choir	Chór
Cholera	Cholera
Cholesterol	Cholesterol
Chondrichthyes	Ryby chrzęstnoszkieletowe
Chongqing	Chongqing
Chord (music)	Akord
Chordate	Strunowce
Christchurch	Christchurch (Nowa Zelandia)
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Chrześcijaństwo
Christianity	Kategoria:Chrześcijaństwo
Christmas	Boże Narodzenie
Christmas Eve	Wigilia Bożego Narodzenia
Christmas tree	Choinka
Christopher Columbus	Krzysztof Kolumb
Christopher Marlowe	Christopher Marlowe
Chromatin	Chromatyna
Chromatography	Chromatografia
Chromium	Chrom
Chromosome	Chromosom
Chronology	Kategoria:Chronologia
Chuck Berry	Chuck Berry
Chukchi Sea	Morze Czukockie
Church	Kościół (organizacja)
Church (building)	Kościół (budynek)
Cicero	Cyceron
Ciconiiformes	Brodzące
Cider	Cydr
Cigarette	Papieros
Cinderella	Kopciuszek (baśń)
Cinnabar	Cynober (minerał)
Cinnamon	Cynamonowiec cejloński
Circe	Kirke (mitologia)
Circinus	Cyrkiel (gwiazdozbiór)
Circle	Okrąg
Circulatory system	Układ krwionośny człowieka
Circumcision	Obrzezanie
Circus	Cyrk (rozrywka)
Cirrhosis	Marskość wątroby
Citizenship	Obywatelstwo
Citric acid	Kwas cytrynowy
Citric acid cycle	Cykl kwasu cytrynowego
Citrus	Cytrus
City-state	Wolne miasto
Civil war	Wojna domowa
Civilization	Cywilizacja
Civilization (computer game)	Civilization
Clarinet	Klarnet
Clark Gable	Clark Gable
Class	Klasa
Class (biology)	Klasa (biologia)
Class (computer science)	Klasa (programowanie obiektowe)
Classical mechanics	Mechanika klasyczna
Classical music	Muzyka poważna
Classicism	Klasycyzm
Claude Monet	Claude Monet
Claude Shannon	Claude E. Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Klaudiusz (cesarz)
Clavicle	Obojczyk (anatomia)
Clay	Glina
Clef	Klucz (muzyka)
Clement Attlee	Clement Richard Attlee
Cleopatra (disambiguation)	Kleopatra
Clergy	Duchowieństwo
Cleveland	Cleveland
Client-server	Klient-serwer
Climate	Klimat
Climate	Kategoria:Klimat
Climate change	Zmiana klimatu
Climatology	Klimatologia
Climatology	Kategoria:Klimatologia
Clinical depression	Depresja (choroba)
Clio	Klio
Clitoris	Łechtaczka
Clock	Zegar (czasomierz)
Clock Tower	Big Ben
Cloning	Klonowanie
Clothing	Kategoria:Ubrania
Clothing	Odzież
Cloud	Chmura
Clove	Goździki
Clover	Koniczyna
Clovis I	Chlodwig I
Cnidaria	Parzydełkowce
Coal	Węgle kopalne
Coast	Wybrzeże
Coat of arms	Herb
Cobalt	Kobalt
Cocaine	Kokaina
Coccinellidae	Biedronkowate
Cockatoo	Kakadu
Cockroach	Karaczany
Cocktail	Koktajl alkoholowy
Coconut	Kokos właściwy
Cocos (Keeling) Islands	Wyspy Kokosowe
Codeine	Kodeina
Coffea	Kawowiec
Coffee	Kawa
Coffee	Kategoria:Kawa
Cognac (drink)	Koniak
Cognitive psychology	Psychologia poznawcza
Cognitive science	Kognitywistyka
Coin	Moneta
Cola	Cola
Colchis	Kolchida
Cold War	Zimna wojna
Cold War	Kategoria:Zimna wojna
Colin Powell	Colin Powell
Collage	Kolaż
Collagen	Kolagen
Colloid	Układ koloidalny
Cologne	Kolonia (miasto)
Colombia	Kolumbia
Colombia	Kategoria:Kolumbia
Colombo	Kolombo
Colonel	Pułkownik (stopień wojskowy)
Colony	Kolonia (geografia polityczna)
Color	Barwa
Color blindness	Ślepota barw
Colorado	Kolorado
Colorado	Kategoria:Kolorado
Colorado River	Kolorado (rzeka)
Colosseum	Koloseum
Colossus of Rhodes	Kolos Rodyjski
Colubrid	Połozowate
Columba (constellation)	Gołąb (gwiazdozbiór)
Columbia	Columbia (Karolina Południowa)
Columbia	Kolumbia (ujednoznacznienie)
Columbia River	Kolumbia (rzeka)
Columbia University	Uniwersytet Columbia
Columbidae	Gołębiowate
Columbiformes	Kategoria:Gołębiowe
Columbiformes	Gołębiowe
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma	Śpiączka
Coma Berenices	Warkocz Bereniki (gwiazdozbiór)
Combustion	Spalanie
Comedy	Komedia
Comenius	Jan Ámos Komenský
Comet	Kometa
Comma (punctuation)	Przecinek
Commedia dell'arte	Commedia dell'arte
Commerce	Kategoria:Handel
Common Fig	Figowiec pospolity
Common cold	Przeziębienie
Commonwealth of Independent States	Wspólnota Niepodległych Państw
Commonwealth of Nations	Wspólnota Narodów
Communication	Kategoria:Komunikacja
Communication	Komunikacja interpersonalna
Communism	Komunizm
Communism	Kategoria:Komunizm
Comoros	Komory
Comoros	Kategoria:Komory
Compact Disc	Płyta kompaktowa
Company (military unit)	Kompania
Compass	Kompas magnetyczny
Compass (drafting)	Cyrkiel (przyrząd)
Compiler	Kompilator
Complex instruction set computer	CISC
Complex number	Liczby zespolone
Composer	Kompozytor
Composite material	Materiał kompozytowy
Composite number	Liczby złożone
Computational linguistics	Lingwistyka komputerowa
Computed tomography	Tomografia komputerowa
Computer	Komputer
Computer architecture	Architektura komputera
Computer display	Monitor (ekran)
Computer file	Plik
Computer graphics	Kategoria:Grafika komputerowa
Computer hardware	Hardware
Computer hardware	Kategoria:Sprzęt komputerowy
Computer network	Sieć komputerowa
Computer program	Program komputerowy
Computer programming	Programowanie
Computer programming	Kategoria:Programowanie
Computer science	Informatyka
Computer science	Kategoria:Informatyka
Computer software	Oprogramowanie
Computer virus	Wirus komputerowy
Computer-aided design	Komputerowe wspomaganie projektowania
Computing	Kategoria:Informatyka
Conakry	Konakry
Concentration	Stężenie (chemia)
Concerto	Koncert
Concord	Concord (New Hampshire)
Concrete	Beton
Condom	Prezerwatywa
Conducting	Dyrygent
Cone (geometry)	Stożek (geometria)
Confederate States of America	Skonfederowane Stany Ameryki
Confederation	Konfederacja
Confession	Sakrament pokuty i pojednania
Confirmation	Bierzmowanie
Conflict	Konflikt interpersonalny
Confucianism	Konfucjanizm
Confucius	Konfucjusz
Congo	Kongo (ujednoznacznienie)
Congo River	Kongo (rzeka)
Conic section	Krzywa stożkowa
Connecticut	Connecticut
Connecticut	Kategoria:Connecticut
Connective tissue	Tkanka łączna
Conquistador	Konkwista
Consensus	Konsens
Conservation of energy	Zasada zachowania energii
Conservatism	Konserwatyzm
Consonant	Spółgłoska
Constantine I	Konstantyn I Wielki
Constantinople	Konstantynopol
Constellation	Gwiazdozbiór
Constitution (political)	Konstytucja
Consul	Konsul rzymski
Consumption (economics)	Konsumpcja
Contact lens	Soczewka kontaktowa
Continent	Kontynent
Continental drift	Wędrówka kontynentów
Continental shelf	Szelf kontynentalny
Contract	Umowa
Contract bridge	Brydż
Convection	Konwekcja
Cooking	Sztuka kulinarna
Cooperative	Spółdzielnia
Coordinate system	Układ współrzędnych
Coordinated Universal Time	Uniwersalny czas koordynowany
Copenhagen	Kopenhaga
Copper	Miedź
Copyright	Prawo autorskie
Cor anglais	Rożek angielski
Coraciiformes	Kraskowe
Coral	Koral
Coral Sea	Morze Koralowe
Coral reef	Rafa
Coriander	Kolendra siewna
Corinth	Korynt
Coriolis effect	Efekt Coriolisa
Cork (city)	Cork
Cormorant	Kormoranowate
Cornea	Rogówka
Cornell University	Uniwersytet Cornella
Cornwall	Kornwalia
Corona Borealis	Korona Północna
Corporation	Spółka kapitałowa
Corrosion	Korozja
Corsica	Korsyka
Corundum	Korund
Corvette	Korweta
Corvidae	Krukowate
Corvus (constellation)	Kruk (gwiazdozbiór)
Cosmic microwave background radiation	Mikrofalowe promieniowanie tła
Cosmic ray	Promieniowanie kosmiczne
Cosmology	Kosmologia
Cosmology	Kategoria:Kosmologia
Costa Rica	Kostaryka
Costa Rica	Kategoria:Kostaryka
Cotonou	Kotonu
Cotopaxi	Cotopaxi
Cotton	Bawełna (włókno)
Cougar	Puma
Coulomb	Kulomb
Coulomb's law	Prawo Coulomba
Council of Chalcedon	Sobór chalcedoński
Council of Ephesus	Sobór Efeski
Council of Trent	Sobór trydencki
