English	Vietnamese
Stanley Kubrick	Stanley Kubrick
Star	Ngôi sao
Starch	Tinh bột
State	Quốc gia
Statistical mechanics	Cơ học thống kê
Statistics	Thống kê
Statue of Liberty	Tượng Nữ thần Tự do
Stavanger	Stavanger
Steam engine	Động cơ hơi nước
Steel	Thép
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegosaurus
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Steppe	Thảo nguyên
Steven Spielberg	Steven Spielberg
Stock exchange	Sàn giao dịch chứng khoán
Stockholm	Stockholm
Stomach	Dạ dày
Stonehenge	Stonehenge
Storm	Bão
Strait	Eo biển
Strait of Gibraltar	Eo biển Gibraltar
Strait of Hormuz	Eo biển Hormuz
Straits	Thể loại:Eo biển
Strasbourg	Strasbourg
Stratosphere	Tầng bình lưu
Strawberry	Dâu tây
String theory	Lý thuyết dây
Stroke	Tai biến mạch máu não
Strong interaction	Lực tương tác mạnh
Strontium	Strontium
Stub	Tiêu bản:Sơ khai
Stupa	Stupa
Sturmabteilung	SA
Stuttgart	Stuttgart
Styx	Sông Styx (thần thoại)
Sub-Saharan Africa	Châu Phi hạ Sahara
Sublimation (chemistry)	Thăng hoa
Submarine	Tàu ngầm
Subversion (software)	Subversion
Sudan	Sudan
Sudan	Thể loại:Sudan
Sudoku	Sudoku
Suez Canal	Kênh đào Suez
Suharto	Suharto
Sukarno	Sukarno
Sulawesi	Sulawesi
Sulfur	Lưu huỳnh
Sulfur dioxide	Điôxít lưu huỳnh
Sulfuric acid	Axít sulfuric
Sumatra	Sumatra
Summer	Mùa hạ
Sumo	Sumo
Sun	Mặt Trời
Sun Yat-sen	Tôn Dật Tiên
Sunday	Chủ nhật
Sunflower	Hướng dương
Sunspot	Vết đen Mặt Trời
Supercomputer	Siêu máy tính
Superconductivity	Siêu dẫn
Supernova	Siêu tân tinh
Supreme Court of the United States	Tối cao Pháp viện Hoa Kỳ
Surface tension	Sức căng bề mặt
Surgeon	Ngoại khoa
Surgery	Ngoại khoa
Surgery	Thể loại:Ngoại khoa
Suriname	Suriname
Sushi	Sushi
Svalbard	Svalbard
Swallow	Họ Nhạn
Swan	Thiên nga
Swastika	Chữ Vạn
Swaziland	Swaziland
Sweden	Thụy Điển
Sweden	Thể loại:Thụy Điển
Sweet potato	Khoai lang
Swimming	Bơi lội
Swiss people	Thể loại:Người Thụy Sĩ
Switzerland	Thụy Sĩ
Switzerland	Thể loại:Thụy Sĩ
Sword	Kiếm
Sydney	Sydney
Sylvia Plath	Sylvia Plath
Symbol	Biểu tượng
Symphony	Giao hưởng
Symptom	Triệu chứng
Syndicate	Công đoàn
Syphilis	Giang mai
Syria	Syria
System	Hệ thống
T	T
T. S. Eliot	T. S. Eliot
Table tennis	Bóng bàn
Taekwondo	Taekwondo
Tai chi chuan	Thái cực quyền
Taipei	Đài Bắc
Taiwan	Thể loại:Đài Loan
Taiwan	Đài Loan
Taj Mahal	Taj Mahal
Tajikistan	Tajikistan
Tajikistan	Thể loại:Tajikistan
Taliban	Taliban
Tallahassee	Tallahassee, Florida
Tallinn	Tallinn
Tamil Nadu	Tamil Nadu
Tampa	Tampa, Florida
Tampere	Tampere
Tanakh	Tanakh
Tang Dynasty	Nhà Đường
Tank	Xe tăng
Tantalum	Tantali
Tanzania	Tanzania
Tanzania	Thể loại:Tanzania
Taoism	Đạo giáo
Tapir	Họ Lợn vòi
Tartarus	Tartarus
Tashkent	Tashkent
Tasmania	Tasmania
Taurus (constellation)	Kim Ngưu (chòm sao)
Tax	Thuế
Taxation	Thể loại:Thuế
Taxonomy	Phân loại học
Tbilisi	Tbilisi
Tea	Trà
Tea	Thể loại:Trà
Technetium	Tecneti
Techno	Techno
Technology	Công nghệ
Technology	Thể loại:Kỹ thuật
Tegucigalpa	Tegucigalpa
Tehran	Tehran
Tel Aviv	Tel Aviv
Telecommunication	Viễn thông
Telepathy	Thần giao cách cảm
Telephone	Điện thoại
Telescope	Kính viễn vọng
Telescopium	Viễn Vọng Kính (chòm sao)
Television	Tivi
Television	Thể loại:Truyền hình
Tellurium	Telua
Temperature	Nhiệt độ
Temple	Đền
Temple of Artemis	Đền Artemis
Ten Commandments	Mười điều răn
Tennessee	Tennessee
Tennis	Quần vợt
Tennis	Thể loại:Quần vợt
Tenzing Norgay	Tenzing Norgay
Tequila	Tequila
Termite	Mối
Terrestrial planet	Hành tinh kiểu Trái Đất
Terrorism	Khủng bố
Terrorism	Thể loại:Khủng bố
Tesla (unit)	Tesla
Tetanus	Bệnh phong đòn gánh
Texas	Texas
Texas	Thể loại:Texas
Textile	Vải
Thailand	Thái Lan
Thailand	Thể loại:Thái Lan
Thales	Thales
Thallium	Tali
Thanksgiving	Lễ Tạ ơn
Thanksgiving (Canada)	Lễ Tạ ơn
Thanksgiving (United States)	Lễ Tạ ơn
Thanksgiving (disambiguation)	Lễ Tạ ơn
The Gambia	Gambia
The Hague	Den Haag
The Star-Spangled Banner	The Star-Spangled Banner
Theatre	Thể loại:Nhà hát
Thebes	Thebes, Ai Cập
Theodolite	Máy kinh vĩ
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Theology	Thể loại:Thần học
Theorem	Định lý toán học
Theory	Lý thuyết
Theory of relativity	Lý thuyết tương đối
Theravada	Thượng toạ bộ
Thermodynamics	Nhiệt động lực học
Thermodynamics	Thể loại:Nhiệt động lực học
Thermometer	Nhiệt kế
Third Crusade	Thập tự chinh thứ ba
Third World	Thế giới thứ ba
Thirty Years' War	Chiến tranh Ba mươi năm
Thomas Aquinas	Tommaso d'Aquino
Thomas Edison	Thomas Alva Edison
Thomas Jefferson	Thomas Jefferson
Thomas Malthus	Thomas Malthus
Thomas Mann	Thomas Mann
Thomas Paine	Thomas Paine
Thor	Thor (thần thoại)
Thuringia	Thüringen
Thursday	Thứ Năm
Thymine	Thymine
Thyroid	Giáp trạng
Tianjin	Thiên Tân
Tiberius	Tiberius
Tibet	Tây Tạng
Tide	Thủy triều
Tiger	Hổ
Tigris	Tigris
Tilia	Chi Đoạn
Timbuktu	Timbuktu
Time	Thời gian
Time (magazine)	Tạp chí Time
Time zone	Múi giờ
Timur	Timur
Tin	Thiếc
Tirana	Tirana
Tissue (biology)	Mô
Titan (disambiguation)	Titan (định hướng)
Titan (moon)	Titan (vệ tinh)
Titan (mythology)	Titan (thần thoại)
Titanic (disambiguation)	Titanic (định hướng)
Titanium	Titan
Tofu	Tào phớ
Togo	Togo
Tokyo	Tokyo
Toluene	Toluen
Tom Hanks	Tom Hanks
Tom and Jerry	Tom và Jerry
Tomato	Cà chua
Tonga	Tonga
Tongue	Lưỡi
Toni Morrison	Toni Morrison
Tony Blair	Tony Blair
Toothbrush	Bàn chải đánh răng
Topology	Tô pô
Topology	Thể loại:Toán học tô pô
Tornado	Vòi rồng
Toronto	Toronto
Torpedo	Ngư lôi
Torque	Mô men lực
Totalitarianism	Chủ nghĩa toàn trị
Toulon	Toulon
Toulouse	Toulouse
Tour de France	Tour de France
Tourism	Du lịch
Tourism	Thể loại:Du lịch
Tours	Tours
Tower	Tháp
Town	Thành phố
Toyota	Toyota
Tractor	Máy kéo
Trade	Thương mại
Trade union	Công đoàn
Trademark	Thương hiệu
Train	Tàu hỏa
Train station	Nhà ga
Trajan	Trajan
Tram	Tàu điện
Transcendental number	Số siêu việt
Transformer	Máy biến thế
Transistor	Tranzito
Transmission Control Protocol	TCP
Trapezoid	Hình thang
Treaty of Versailles	Hòa ước Versailles
Triangle	Tam giác
Triangulum	Tam Giác (chòm sao)
Triangulum Australe	Nam Tam Giác
Triassic	Kỷ Trias
Tributary	Chi lưu
Triceratops	Triceratops
Trigonometric function	Hàm lượng giác
Trigonometry	Lượng giác
Trinidad and Tobago	Trinidad và Tobago
Trinitrotoluene	TNT
Trinity	Ba Ngôi
Tripoli	Tripoli
Triton (moon)	Triton (vệ tinh)
Triumphal arch	Khải hoàn môn
Trojan Horse	Con ngựa thành Troy
Trojan War	Chiến tranh thành Troy
Trojan horse (computing)	Ngựa thành Troy (tin học)
Trombone	Trombone
Trondheim	Trondheim
Tropic of Cancer	Chí tuyến Bắc
Tropic of Capricorn	Chí tuyến Nam
Tropics	Nhiệt đới
Troposphere	Tầng đối lưu
Truck	Xe tải
Truman Doctrine	Học thuyết Truman
Trumpet	Trumpet
Tsar	Sa hoàng
Tsunami	Sóng thần
Tuberculosis	Lao
Tucana	Đỗ Quyên (chòm sao)
Tuesday	Thứ Ba
Tungsten	Volfram
Tunis	Tunis
Tunisia	Tunisia
Turbine	Turbine
Turin	Torino
Turkey	Thổ Nhĩ Kỳ
Turkey	Thể loại:Thổ Nhĩ Kỳ
Turkmenistan	Turkmenistan
Turkmenistan	Thể loại:Turkmenistan
Turtle	Rùa
Tuvalu	Tuvalu
Tux	Tux
Tycho Brahe	Tycho Brahe
Typewriter	Máy đánh chữ
Tyrannosaurus	Tyrannosaurus rex
U	U (mẫu tự)
UNESCO	Tổ chức Giáo dục, Khoa học và Văn hóa Liên Hiệp Quốc
Uganda	Uganda
Uganda	Thể loại:Uganda
Ukraine	Ukraina
Ukraine	Thể loại:Ukraina
Ulan Bator	Ulan Bator
Ulster	Ulster
Ultraviolet	Tia cực tím
Ulysses S. Grant	Ulysses S. Grant
Uncertainty principle	Nguyên lý bất định
Unemployment	Thất nghiệp
Unidentified flying object	UFO
Uniform Resource Locator	URL
Union (set theory)	Phép hợp
United Arab Emirates	Các Tiểu vương quốc Ả Rập Thống nhất
United Kingdom	Vương quốc Liên hiệp Anh và Bắc Ireland
United Kingdom	Thể loại:Vương quốc Liên hiệp Anh và Bắc Ireland
United Nations	Liên Hiệp Quốc
United Nations	Thể loại:Liên Hiệp Quốc
United Nations Children's Fund	Quỹ Nhi đồng Liên Hiệp Quốc
United States	Hoa Kỳ
United States	Thể loại:Hoa Kỳ
United States Air Force	Không quân Hoa Kỳ
United States Congress	Quốc hội Hoa Kỳ
United States Constitution	Hiến pháp Hoa Kỳ
United States House of Representatives	Hạ viện Hoa Kỳ
United States Military Academy	Học viện Quân sự West Point Hoa Kỳ
United States Navy	Hải quân Hoa Kỳ
United States Senate	Thượng viện Hoa Kỳ
United States Virgin Islands	Quần đảo Virgin thuộc Mỹ
United States dollar	Đô la Mỹ
Universe	Vũ trụ
University of Chicago	Đại học Chicago
University of Pennsylvania	Đại học Pennsylvania
Unix	Unix
Unix	Thể loại:Unix
Upanishad	Áo nghĩa thư
Uppsala	Uppsala
Uracil	Uracil
Ural Mountains	Núi Ural
Uranium	Urani
Uranus	Sao Thiên Vương
Urea	Urê
Ursa Major	Đại Hùng
Ursa Minor	Tiểu Hùng
Uruguay	Uruguay
Utah	Utah
Uttar Pradesh	Uttar Pradesh
Uzbekistan	Uzbekistan
Uzbekistan	Thể loại:Uzbekistan
V	V
Vaccine	Vắc-xin
Vacuum	Chân không
Vacuum tube	Đèn điện tử chân không
Vagina	Âm đạo
Valence	Valence, Drôme
Valence (chemistry)	Hóa trị
Valencia	Valencia, Tây Ban Nha
Valentina Tereshkova	Valentina Vladimirovna Tereshkova
Valentine's Day	Ngày Valentine
Valhalla	Valhalla
Valletta	Valletta
Valley	Thung lũng
Vampire	Ma cà rồng
Vanadium	Vanađi
Vancouver	Vancouver, British Columbia
Vanir	Vanir
Vanuatu	Vanuatu
Variance	Phương sai
Vatican City	Thành Vatican
Vatican City	Thể loại:Thành Vatican
Vector (spatial)	Vectơ
Vega	Sao Chức Nữ
Vegetable	Rau
Vegetarianism	Ăn chay
Vela (constellation)	Thuyền Phàm
Velociraptor	Velociraptor
Velocity	Vận tốc
Venezuela	Venezuela
Venice	Venezia
Venus	Sao Kim
Vermont	Vermont
Versailles	Versailles
Vertebrate	Động vật có xương sống
Vichy	Vichy
Victor Hugo	Victor Hugo
Victoria	Victoria, British Columbia
Victoria (Australia)	Victoria (Úc)
Victoria Falls	Thác Victoria
Video	Phim video
Vienna	Wien
Vienne	Vienne
Vientiane	Viêng Chăn
Vietnam	Việt Nam
Vietnam	Thể loại:Việt Nam
Vietnam War	Chiến tranh Việt Nam
Vietnam War	Thể loại:Chiến tranh Việt Nam
Viking	Người Viking
Village	Làng
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Viola	Vĩ cầm trầm
Violin	Vĩ cầm
Virgil	Virgil
Virginia	Virginia
Virginia	Thể loại:Virginia
Virginia Woolf	Virginia Woolf
Virginity	Trinh nữ
Virgo (constellation)	Thất Nữ (chòm sao)
Virtual reality	Thực tế ảo
Virus	Virus
Viscosity	Độ nhớt
Vishnu	Vishnu
Vitamin	Vitamin
Vitamin A	Vitamin A
Vitamin B6	Pyridoxin
Vitamin C	Vitamin C
Vittorio De Sica	Vittorio De Sica
Vitus Bering	Vitus Bering
Vladimir Lenin	Vladimir Ilyich Lenin
Vladimir Nabokov	Vladimir Vladimirovich Nabokov
Vladimir Putin	Vladimir Putin
Vladivostok	Vladivostok
Volans	Phi Ngư
Volcano	Núi lửa
Volcanology	Thể loại:Núi lửa học
Volga River	Sông Volga
Volgograd	Volgograd
Volleyball	Bóng chuyền
Volleyball	Thể loại:Bóng chuyền
Volt	Vôn
Voltaire	Voltaire
Volume	Thể tích
Vulpecula	Hồ Ly
W	W
WYSIWYG	WYSIWYG
Wake Island	Đảo Wake
Wales	Wales
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
War	Chiến tranh
War of the Spanish Succession	Chiến tranh Kế vị Tây Ban Nha
Warsaw	Warszawa
Wart	Mụn cóc
Washington	Washington, D.C.
Washington	Tiểu bang Washington
Washington (disambiguation)	Washington (định hướng)
Wassily Kandinsky	Wassily Kandinsky
Water	Nước
Waterfall	Thác
Watergate scandal	Vụ Watergate
Watermelon	Dưa hấu
Watt	Watt
Wave	Chuyển động sóng
Wavelength	Bước sóng
Weak interaction	Lực tương tác yếu
Weapon	Vũ khí
Weather	Thời tiết
Web browser	Trình duyệt web
Web page	Website
Webcam	Webcam
Weber (unit)	Weber
Website	Website
Wednesday	Thứ Tư
Weight	Lực hấp dẫn#Tr.E1.BB.8Dng l.E1.BB.B1c
Weimar	Weimar
Weimar Republic	Cộng hòa Weimar
Welding	Hàn (công nghệ)
Wellington	Wellington
Wernher von Braun	Wernher von Braun
West	Hướng Tây
West Africa	Tây Phi
West Bank	Bờ Tây
West Bengal	Tây Bengal
West Virginia	Tây Virginia
Western Australia	Tây Úc (tiểu bang)
Western Sahara	Tây Sahara
Wheat	Lúa mì
Whisky	Whisky
White House	Nhà Trắng
White Sea	Biển Trắng
White blood cell	Bạch cầu
White dwarf	Sao lùn trắng
Wiesbaden	Wiesbaden
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Golding	William Golding
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William Herschel	William Herschel
William Howard Taft	William Howard Taft
William James	William James
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Shockley	William Shockley
Willow	Chi Liễu
Wind power	Năng lượng gió
Windhoek	Windhoek
Windmill	Cối xay gió
Wine	Rượu vang
Winston Churchill	Winston Churchill
Winter	Mùa đông
Winter Olympic Games	Thế vận hội Mùa đông
Winter Olympic Games	Thể loại:Thế vận hội Mùa đông
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wolfgang Pauli	Wolfgang Ernst Pauli
Wood	Gỗ
Woodrow Wilson	Woodrow Wilson
Woody Allen	Woody Allen
Word processor	Chương trình soạn thảo văn bản
World	Thế giới
World Bank	Nhóm Ngân hàng Thế giới
World Health Organization	Tổ chức Y tế Thế giới
World Trade Center	Trung tâm Thương mại Thế giới
World Trade Organization	Tổ chức Thương mại Thế giới
World War I	Đệ nhất thế chiến
World War I	Thể loại:Đệ nhất thế chiến
World War II	Đệ nhị thế chiến
World War II	Thể loại:Đệ nhị thế chiến
World Wide Web	World Wide Web
World Wide Web	Thể loại:World Wide Web
Wormhole	Hố giun
Wuhan	Vũ Hán
Wyoming	Wyoming
X	X
X-ray	Tia X
Xenon	Xenon
Xinjiang	Tân Cương
Y	Y
Yahweh	Giêhôva
Yakuza	Yakuza
Yale University	Đại học Yale
Yalta Conference	Hội nghị Yalta
Yangon	Yangon
Yangtze River	Dương Tử
Yard	Yard
Yasser Arafat	Yasser Arafat
Yeast	Men (sinh vật)
Yellow	Vàng (màu)
Yellow River	Hoàng Hà
Yellow Sea	Hoàng Hải
Yellowstone National Park	Vườn quốc gia Yellowstone
Yemen	Yemen
Yenisei River	Sông Enisei
Yerevan	Yerevan
Yggdrasil	Yggdrasil
Yoga	Yoga
Yoghurt	Sữa chua
Yokohama	Yokohama
Yosemite National Park	Vườn quốc gia Yosemite
Yttrium	Yttri
Yuan Dynasty	Nhà Nguyên
Yugoslavia	Nam Tư
Yukon	Yukon
Yunnan	Vân Nam
Yuri Gagarin	Yuri Alekseievich Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Zambia	Zambia
Zanzibar	Zanzibar
Zaragoza	Zaragoza
Zealand	Zealand
Zen	Thiền tông
Zenith	Thiên đỉnh
Zeus	Zeus
Zimbabwe	Zimbabwe
Zinc	Kẽm
Zirconium	Zirconi
Zoology	Động vật học
Zoology	Thể loại:Động vật học
