Esperanto	English
Hidrargo	Mercury (element)
Merkuro (dio)	Mercury (mythology)
Merkuro	Mercury (planet)
Meridiano	Meridian (geography)
Meritokratio	Meritocracy
Sireno (mitologio)	Mermaid
Merovidoj	Merovingian
Meryl Streep	Meryl Streep
Mezono	Meson
Mezopotamio	Mesopotamia
Kategorio:Mezopotamio	Mesopotamia
Mezosfero	Mesosphere
Mezozoiko	Mesozoic
Mesio	Messiah
Messina	Messina
Metabolo	Metabolism
Meta-dateno	Metadata
Metalo (fiziko)	Metal
Metaloido	Metalloid
Metalurgio	Metallurgy
Kategorio:Metalurgio	Metallurgy
Metamorfa roko	Metamorphic rock
Metaforo	Metaphor
Metafiziko	Metaphysics
Kategorio:Metafiziko	Metaphysics
Meteorŝtono	Meteorite
Kategorio:Meteologio	Meteorology
Meteologio	Meteorology
Metadono	Methadone
N-metilamfetamino	Methamphetamine
Metanolo	Methanol
Metionino	Methionine
Metodistoj	Methodism
Metiso	Metis (moon)
Metro	Metre
Metrika spaco	Metric space
Meuse	Meuse
Mozo	Meuse River
Meksiko	Mexico
Kategorio:Meksiko	Mexico
Meksikurbo	Mexico City
Miamo	Miami
Glimo	Mica
Sankta Mikaelo	Michael (archangel)
Michael Faraday	Michael Faraday
Mikelanĝelo	Michelangelo
Miĉigano	Michigan
Kategorio:Miĉigano	Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Mickey Mouse
Mikrobiologio	Microbiology
Kategorio:Mikrobiologio	Microbiology
Mikroekonomiko	Microeconomics
Kategorio:Mikroekonomiko	Microeconomics
Mikronezio	Micronesia
Mikroorganismo	Microorganism
Mikrofono	Microphone
Mikroskopo	Microscope
Mikroskopo (konstelacio)	Microscopium
Mikroondoj	Microwave
Mikroondilo	Microwave oven
Mezepoko	Middle Ages
Kategorio:Mezepoko	Middle Ages
Mezoriento	Middle East
Noktomeza suno	Midnight sun
Miguel de Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Miĥail Bakunin	Mikhail Bakunin
Miĥail Gorbaĉov	Mikhail Gorbachev
Milano	Milan
Mejlo	Mile
Miles Davis	Miles Davis
Lakto	Milk
Lakta vojo	Milky Way
Millard Fillmore	Millard Fillmore
Jarmilo	Millennium
Milimetro	Millimetre
Miliono	Million
Milpieduloj	Millipede
Milton Friedman	Milton Friedman
Minareto	Minaret
Mineralo	Mineral
Mineralakvo	Mineral water
Mineralogio	Mineralogy
Kategorio:Mineralogio	Mineralogy
Minerva	Minerva
Dinastio Ming	Ming Dynasty
Minimumismo	Minimalism
Minado	Mining
Ministro	Minister (government)
Minneapolis	Minneapolis
Minesoto	Minnesota
Kategorio:Minesoto	Minnesota
Minoa civilizo	Minoan civilization
Minora gamo	Minor scale
Minoo	Minos
Minotaŭro	Minotaur
Minsko	Minsk
Minuto	Minute
Mioceno	Miocene
Miraklo	Miracle
Spegulo	Mirror
Kategorio:Misisipio	Mississippi
Misisipo (rivero)	Mississippi River
Misurio	Missouri
Kategorio:Misurio	Missouri
Misuro (rivero)	Missouri River
Mitokondrio	Mitochondrion
Mnemozino	Mnemosyne
Poŝtelefono	Mobile phone
Modemo	Modem
Modernismo	Modernism
Mogadiŝo	Mogadishu
Moldava Respubliko	Moldova
Kategorio:Moldavio	Moldova
Molo	Mole (unit)
Molekula biologio	Molecular biology
Kategorio:Molekula biologio	Molecular biology
Molekulo	Molecule
Moliso	Molise
Molusko	Mollusca
Brulbotelo	Molotov cocktail
Molibdeno	Molybdenum
Mombasa	Mombasa
Movokvanto	Momentum
Monako	Monaco
Kategorio:Monako	Monaco
Monarkio	Monarchy
Monaĥejo	Monastery
Lundo	Monday
Mono	Money
Mongolio	Mongolia
Kategorio:Mongolio	Mongolia
Mungotedoj	Mongoose
Monismo	Monism
Unukotiledonaj plantoj	Monocotyledon
Monopolo	Monopoly
Monopolo (ludo)	Monopoly (game)
Monosakarido	Monosaccharide
Monoteismo	Monotheism
Monotremoj	Monotreme
Doktrino de Monroe	Monroe Doctrine
Monrovio	Monrovia
Mons (Belgio)	Mons
Musono	Monsoon
Blanka Monto	Mont Blanc
Montano	Montana
Kategorio:Montano	Montana
Montekarlo	Monte Carlo
Montenegro	Montenegro
Kategorio:Montenegro	Montenegro
Monterejo	Monterrey
Montevideo	Montevideo
Montgomery (Alabamo)	Montgomery
Monato	Month
Montpelier (Vermonto)	Montpelier
Montrealo (Kebekio)	Montreal
Moncerato	Montserrat
Luno	Moon
Alko	Moose
Moralo	Morality
Moravio	Moravia
Maroko	Morocco
Kategorio:Maroko	Morocco
Morfemo	Morpheme
Morfino	Morphine
Morfologio	Morphology
Morfologio (lingvo)	Morphology (linguistics)
Morsa kodo	Morse code
Mozaiko	Mosaic
Moskvo	Moscow
Kategorio:Moskvo	Moscow
Moselle	Moselle
Moseo	Moses
Moŝe Dajan	Moshe Dayan
Moskeo	Mosque
Moskito	Mosquito
Muskoj	Moss
Mossad	Mossad
Mosulo	Mosul
Moteto	Motet
Patrino	Mother
Patrino Teresa	Mother Teresa
Tago de patrinoj	Mother's Day
Movado (fiziko)	Motion (physics)
Motorciklo	Motorcycle
Moto	Motto
Ararato	Mount Ararat
Athos	Mount Athos
Etna	Mount Etna
Ĉomolungmo	Mount Everest
Fuĵi-Monto	Mount Fuji
Kilimanĝaro	Mount Kilimanjaro
Olimpo	Mount Olympus
Monto Rushmore	Mount Rushmore
Saint Helens	Mount St. Helens
Vezuvio	Mount Vesuvius
Monto	Mountain
Montbiciklo	Mountain bike
Montpasejo	Mountain pass
Montara sistemo	Mountain range
Muso (besto)	Mouse
Komputila muso	Mouse (computing)
Mozambiko	Mozambique
Kategorio:Mozambiko	Mozambique
Muezino	Muezzin
Mohamedo	Muhammad
Muhammad Ali	Muhammad Ali
Moruso	Mulberry
Mulo	Mule
Plurmedio	Multimedia
Sklerozo multiloka	Multiple sclerosis
Multipliko	Multiplication
Mumbajo	Mumbai
Mumio	Mummy
Munkeno	Munich
Municipo	Municipality
Muono	Muon
Murmansko	Murmansk
Leĝo de Murphy	Murphy's law
Banano	Musa (genus)
Muŝo (konstelacio)	Musca
Maskato	Muscat
Muskolo	Muscle
Muzoj	Muse
Muzeo	Museum
Muziko	Music
Kategorio:Muziko	Music
Muzika instrumento	Musical instrument
Gamo	Musical scale
Muzikisto	Musician
Muzikologio	Musicology
Musteledoj	Mustelidae
Mutacio	Mutation
Muta cigno	Mute Swan
Kategorio:Birmo	Myanmar
Mikeneo	Mycenae
Mikologio	Mycology
Kategorio:Mikologio	Mycology
Korinfarkto	Myocardial infarction
Miopio	Myopia
Miriapodo	Myriapoda
Mistikismo	Mysticism
Mito	Myth
Mitologio (mitaro)	Mythology
Kategorio:Mitologio	Mythology
N	N
Nĵameno	N'Djamena
NASDAQ	NASDAQ
NATO	NATO
Nadine Gordimer	Nadine Gordimer
Nagasako	Nagasaki
Nagoja Urbo	Nagoya
Naŭatla lingvo	Nahuatl
Ungo	Nail (anatomy)
Najlo	Nail (fastener)
Najrobo	Nairobi
Namibio	Namibia
Kategorio:Namibio	Namibia
Namuro (urbo)	Namur (city)
Nancio	Nancy
Nanga Parbat	Nanga Parbat
Nankingo	Nanjing
Nanoteknologio	Nanotechnology
Nanto (Francio)	Nantes
Napalmo	Napalm
Napolo	Naples
Narciso	Narcissus (mythology)
Nashville (Tenesio)	Nashville
Nassaŭo	Nassau
Nathaniel Hawthorne	Nathaniel Hawthorne
Nacio	Nation
National Security Agency	National Security Agency
Nacia himno	National anthem
Nacia parko	National park
Naciismo	Nationalism
Tergaso	Natural gas
Komputila lingvistiko	Natural language processing
Natura nombro	Natural number
Naturscienco	Natural science
Natura selektado	Natural selection
Naturo	Nature
Kategorio:Naturo	Nature
Nudismo	Naturism
Nauro	Nauru
Kategorio:Nauro	Nauru
Kategorio:Navigado	Navigation
Mararmeo	Navy
Nazareto	Nazareth
Nazia Germanio	Nazi Germany
NSDAP	Nazi Party
Neandertala homo	Neanderthal
Nebrasko	Nebraska
Kategorio:Nebrasko	Nebraska
Nebukadnecar la 2-a	Nebuchadrezzar II
Nebulozo	Nebula
Neckar	Neckar
Kravato	Necktie
Nefertito	Nefertiti
Negevo	Negev
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Nematodoj	Nematode
Nemezo	Nemesis (mythology)
Neodimo	Neodymium
Neolitiko	Neolithic
Neologismo	Neologism
Neono	Neon
Novplatonismo	Neoplatonism
Nepalo	Nepal
Kategorio:Nepalo	Nepal
Neptuno (planedo)	Neptune
Neptunio	Neptunium
Nerono	Nero
Nerva	Nerva
Nerva sistemo	Nervous system
Nesto	Nest
Nestorianismo	Nestorianism
Nederlando	Netherlands
Kategorio:Nederlando	Netherlands
Nederlandaj Antiloj	Netherlands Antilles
Reta topologio	Network topology
Neŭrologio	Neurology
Neŭrono	Neuron
Neŭrotransmisiilo	Neurotransmitter
Neŭtrino	Neutrino
Neŭtrono	Neutron
Neŭtrona stelo	Neutron star
Neva	Neva River
Nevado	Nevada
Kategorio:Nevado	Nevada
Neville Chamberlain	Neville Chamberlain
Nov-Brunsviko	New Brunswick
Nov-Kaledonio	New Caledonia
Nov-Delhio	New Delhi
Nov-Anglio	New England
Nov-Gvineo	New Guinea
Nov-Hampŝiro	New Hampshire
Kategorio:Nov-Hampŝiro	New Hampshire
Nov-Ĵerzejo	New Jersey
Kategorio:Nov-Ĵerzejo	New Jersey
Nov-Meksiko	New Mexico
Kategorio:Nov-Meksiko	New Mexico
Nov-Orleano	New Orleans
Novsudkimrio	New South Wales
Nova testamento	New Testament
Nova Mondo	New World
Novjaro	New Year
Nov-Jorkio	New York
Kategorio:Nov-Jorkio	New York
New York	New York (disambiguation)
Novjorko	New York City
Kategorio:Novjorko	New York City
Novjorka Borso	New York Stock Exchange
Nov-Zelando	New Zealand
Kategorio:Nov-Zelando	New Zealand
Novlando	Newfoundland (island)
Novlando kaj Labradoro	Newfoundland and Labrador
Newport	Newport
Neŭtono (unuo)	Newton
Niagara Akvofalo	Niagara Falls
Niameo	Niamey
Nikaragvo	Nicaragua
Kategorio:Nikaragvo	Nicaragua
Nico	Nice
La Kredo Nicea	Nicene Creed
Petrović Njegoš	Nicholas
Nikelo	Nickel
Nicolas Poussin	Nicolas Poussin
Koperniko	Nicolaus Copernicus
Nikozio	Nicosia
Nikotino	Nicotine
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niĝero	Niger
Kategorio:Niĝero	Niger
Niĝero (rivero)	Niger River
Niĝerio	Nigeria
Kategorio:Niĝerio	Nigeria
Nokto	Night
Najtingalo	Nightingale
Nihilismo	Nihilism
Nijmegen	Nijmegen
Nikita Ĥruŝĉov	Nikita Khrushchev
Nikola Tesla	Nikola Tesla
Nilo	Nile
Ninevo	Nineveh
Ŝinobo	Ninja
Niobio	Niobium
Nirvano	Nirvana
Nitrata acido	Nitric acid
Azoto	Nitrogen
Nitroglicerino	Nitroglycerin
Nikso (astronomio)	Nix (moon)
Njórðr	Njord
Noa	Noah
Noam Chomsky	Noam Chomsky
Nobel-premio	Nobel Prize
Nobelio	Nobelium
Nobelo	Nobility
Nobla gaso	Noble gas
Nomado	Nomad
Nominativo	Nominative case
Nemetalo	Nonmetal
Norfolk (Anglio)	Norfolk
Norfolkinsulo	Norfolk Island
Ortilo (konstelacio)	Norma (constellation)
Normala distribuo	Normal distribution
Norman Mailer	Norman Mailer
Normandio	Normandy
Nornoj	Norn
Nord-ĝermana mitologio	Norse mythology
Kategorio:Ĝermana mitologio	Norse mythology
Nordo	North
Nord-Afriko	North Africa
Nordameriko	North America
Kategorio:Nordameriko	North America
Norda Karolino	North Carolina
Kategorio:Norda Karolino	North Carolina
Norda Dakoto	North Dakota
Kategorio:Norda Dakoto	North Dakota
Norda Insulo (Nov-Zelando)	North Island
Nord-Koreio	North Korea
Kategorio:Nord-Koreio	North Korea
Norda poluso	North Pole
Norda Maro	North Sea
North Yorkshire	North Yorkshire
Norda Eŭropo	Northern Europe
Norda duonglobo	Northern Hemisphere
Nord-Irlando	Northern Ireland
Nord-Marianoj	Northern Mariana Islands
Norda Teritorio	Northern Territory
Ezoko	Northern pike
Nordokcidentaj Teritorioj	Northwest Territories
Norvegio	Norway
Kategorio:Norvegio	Norway
Norvega Maro	Norwegian Sea
Norvega krono	Norwegian krone
Nazo	Nose
Nostradamus	Nostradamus
Tononomo	Note
Nuakŝoto	Nouakchott
Substantivo	Noun
Nov-Skotio	Nova Scotia
Nova Zemlo	Novaya Zemlya
Romano	Novel
Novembro	November
1-a de novembro	November 1
11-a de novembro	November 11
2-a de novembro	November 2
5-a de novembro	November 5
Novialo	Novial
Novosibirsk	Novosibirsk
Nuo (litero)	Nu (letter)
Fisio	Nuclear fission
Fuzio	Nuclear fusion
Nuklea fiziko	Nuclear physics
Nuklea energio	Nuclear power
Atombombo	Nuclear weapon
Nuklea acido	Nucleic acid
Nukleono	Nucleon
Nukleotido	Nucleotide
Nombro	Number
Kategorio:Nombroj	Numbers
Numismatiko	Numismatics
Nunavuto	Nunavut
Nurenbergo	Nuremberg
Nukso	Nut (fruit)
Muskato	Nutmeg
Kategorio:Nutrado	Nutrition
Nimfoj	Nymph
Nimfeo	Nymphaeaceae
Nikso (mitologio)	Nyx (mythology)
O	O
OPEL	OPEC
Oahu	Oahu
Kverko	Oak
Oakland (Kalifornio)	Oakland
Oazo	Oasis
Aveno	Oat
Oaxaca	Oaxaca
Obo	Ob River
Obelisko	Obelisk
Trodikiĝo	Obesity
Objektema programado	Object-oriented programming
Hobojo	Oboe
Observatorio	Observatory
Obsidiano	Obsidian
Raziklingo de Ockham	Occam's razor
Oceano	Ocean
Marfluo	Ocean current
Oceanio	Oceania
Kategorio:Oceanio	Oceania
Oceanografio	Oceanography
Kategorio:Oceanografio	Oceanography
Oceano (mitologio)	Oceanus
Okuma sistemo	Octal
Oktanto (konstelacio)	Octans
Okto	Octave
Oktobro	October
12-a de oktobro	October 12
24-a de oktobro	October 24
Oktobra Revolucio	October Revolution
Polpo	Octopus
Odo	Ode
Odro	Oder River
Odeso	Odessa
Odino	Odin
Libelo	Odonata
Odiseo	Odysseus
Odiseado	Odyssey
Edipo	Oedipus
Ofsajdo	Offside (football)
Ohio	Ohio
Kategorio:Ohio	Ohio
Omo	Ohm
Leĝo de Omo	Ohm's law
Oleo	Oil
Oleo	Oil (disambiguation)
Okapio	Okapi
Oklahomo	Oklahoma
Kategorio:Oklahomo	Oklahoma
Oklahoma City (Oklahomo)	Oklahoma City
Oktoberfest	Oktoberfest
Norena lingvo	Old Norse
Malnova testamento	Old Testament
Oligarkio	Oligarchy
Oligoceno	Oligocene
Olivarbo	Olive
Oliv-oleo	Olive oil
Oliver Cromwell	Oliver Cromwell
Olivino	Olivine
Olympia (Vaŝingtonio)	Olympia
Olimpio	Olympia
Olimpiaj ludoj	Olympic Games
Kategorio:Olimpikoj	Olympics
Omaha (Nebrasko)	Omaha
Omano	Oman
Kategorio:Omano	Oman
Omego	Omega
Omikrono	Omicron
Omsk	Omsk
Cepo	Onion
Ontario	Ontario
Kategorio:Ontario	Ontario
Ontologio	Ontology
Oorta nubo	Oort cloud
Opalo	Opal
Opel	Opel
Opero	Opera
Opera (retumilo)	Opera (Internet suite)
Operaciumo	Operating system
Opereto	Operetta
Serpentisto (konstelacio)	Ophiuchus
Opio	Opium
Optika fibro	Optical fiber
Optika iluzio	Optical illusion
Optiko	Optics
Kategorio:Optiko	Optics
Optimumigo (matematiko)	Optimization (mathematics)
Buŝa seksumado	Oral sex
Oranĝkolora	Orange (colour)
Oranĝo (frukto)	Orange (fruit)
Orangutano	Orangutan
Oratorio	Oratorio
Orbito	Orbit
Granda orcino	Orca
Orkestro	Orchestra
Orkidacoj	Orchidaceae
Ordo (biologio)	Order (biology)
Benediktanoj	Order of Saint Benedict
Ordovicio	Ordovician
Oregono	Oregon
Kategorio:Oregono	Oregon
Organo	Organ (anatomy)
Orgeno	Organ (music)
Organeto	Organelle
Organika kemio	Organic chemistry
Kategorio:Organika kemio	Organic chemistry
Organismo	Organism
Organizo	Organization
Organizo de Amerikaj Ŝtatoj	Organization of American States
Orgasmo	Orgasm
Origamio	Origami
Origeno	Origen
Prapeko	Original sin
Orinoko	Orinoco
Oriono (konstelacio)	Orion (constellation)
Ornitologio	Ornithology
Orfeo	Orpheus
Orson Welles	Orson Welles
Ortografio	Orthography
Osako	Osaka
Usama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Oziriso	Osiris
Oslo	Oslo
Osmio	Osmium
Fiŝaglo	Osprey
Ostaj fiŝoj	Osteichthyes
Ostrava	Ostrava
Struto	Ostrich
Oto	Otho
Otavo (Ontario)	Ottawa
Otto Hahn	Otto Hahn
Otto von Bismarck	Otto von Bismarck
Otomana Imperio	Ottoman Empire
Kategorio:Otomana Imperio	Ottoman Empire
Unco	Ounce
Ovario (anatomio)	Ovary
Ovidio	Ovid
Oviedo	Oviedo
Ovio	Ovis
Strigoformaj birdoj	Owl
Oksfordo	Oxford
Oksidiĝa nombro	Oxidation state
Oksido	Oxide
Oksigeno	Oxygen
Oksimoro	Oxymoron
Ozono	Ozone
Ozona tavolo	Ozone layer
P	P
PH (kemia parametro)	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacifika Oceano	Pacific Ocean
Pacismo	Pacifism
Padovo	Padua
Paganismo	Paganism
Kategorio:Pentrado	Painting
Pakistano	Pakistan
Kategorio:Pakistano	Pakistan
Kastelo de Versailles	Palace of Versailles
Palaŭo	Palau
Kategorio:Palaŭo	Palau
Paleoceno	Paleocene
Paleolitiko	Paleolithic
Paleontologio	Paleontology
Kategorio:Paleontologio	Paleontology
Paleozoiko	Paleozoic
Palermo	Palermo
Palestino	Palestine
Kategorio:Palestino	Palestine
Organizaĵo por Liberigo de Palestino	Palestine Liberation Organization
Palestina Aŭtonomio	Palestinian National Authority
Palia lingvo	Pali
Palindromo	Palindrome
Paladio	Palladium
Palmyra	Palmyra
Pamiro	Pamir Mountains
Pajno	Pan (mythology)
Panamo	Panama
Kategorio:Panamo	Panama
Panama kanalo	Panama Canal
Panamurbo	Panama City
Pankreato	Pancreas
Pandemio	Pandemic
Pandora	Pandora
Pangeo	Pangaea
Panteismo	Pantheism
Panteono de Romo	Pantheon
Papa Ŝtato	Papal States
Papuo-Nov-Gvineo	Papua New Guinea
Kategorio:Papuo-Nov-Gvineo	Papua New Guinea
Papiruso	Papyrus
Parabolo (matematiko)	Parabola
Paraŝuto	Parachute
Scienca paradigmo	Paradigm
Paradokso	Paradox
Glisparaŝutado	Paragliding
Paragvajo	Paraguay
Kategorio:Paragvajo	Paraguay
Paralakso	Parallax
Paralelogramo	Parallelogram
Paramaribo	Paramaribo
Paranojo	Paranoia
Parafilio	Paraphilia
Parapsikologio	Parapsychology
Parazitismo	Parasitism
Pergameno	Parchment
Parizo	Paris
Kategorio:Parizo	Paris
Parkinsono	Parkinson's disease
Parlamento	Parliament
Parmenido	Parmenides
Parodio	Parody
Papagoformaj	Parrot
Parseko	Parsec
Petroselo	Parsley
Partenono	Parthenon
Partoj	Parthia
Partikla fiziko	Particle physics
Kategorio:Partikla Fiziko	Particle physics
Paskalo (programlingvo)	Pascal (programming language)
Paskalo	Pascal (unit)
Kategorio:Paseroformaj	Passeriformes
Paseroformaj birdoj	Passerine
Pesaĥo	Passover
Pasporto	Passport
Pasvorto	Password
Pasteŭrizado	Pasteurization
Patagonio	Patagonia
Patento	Patent
Patologio	Pathology
Patraso	Patras
Patriarko	Patriarch
Patrick White	Patrick White
Patriotismo	Patriotism
Paul Gauguin	Paul Gauguin
Paul Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Verlaine	Paul Verlaine
Sankta Paŭlo	Paul the Apostle
Paul von Hindenburg	Paul von Hindenburg
Principo de ekskludo	Pauli exclusion principle
Pavo (konstelacio)	Pavo (constellation)
Peono (ŝako)	Pawn (chess)
Luarlandoj	Pays de la Loire
Ĝardena pizo	Pea
Paco	Peace
Vestfalia Paco	Peace of Westphalia
Persiko	Peach
Pavo	Peafowl
Ternukso	Peanut
Piro	Pear
Perlo	Pearl
Pearl Harbor	Pearl Harbor
Torfo	Peat
Pedagogio	Pedagogy
Kategorio:Pedagogio	Pedagogy
Pediatrio	Pediatrics
Pedofilio	Pedophilia
Tigfrukta kverko	Pedunculate Oak
Pegazo	Pegasus
Pegazo (konstelacio)	Pegasus (constellation)
Peloponezo	Peloponnese
Peloponeza milito	Peloponnesian War
Krajono	Pencil
Pendolo	Pendulum
Penelopo	Penelope
Pingveno	Penguin
Penicilino	Penicillin
Duoninsulo	Peninsula
Pensilvanio	Pennsylvania
Kategorio:Pensilvanio	Pennsylvania
Kvinlatero	Pentagon
Pentekosto	Pentecost
Pentekosta Kristanismo	Pentecostalism
Ĉinio	People's Republic of China
Peptido	Peptide
Procento	Percentage
Percepto	Perception
Perkoformaj	Perciformes
Frapinstrumento	Percussion instrument
Percy Bysshe Shelley	Percy Bysshe Shelley
Migra falko	Peregrine Falcon
Perestrojko	Perestroika
Parfumo	Perfume
Periodo de la perioda tabelo	Period (periodic table)
Perioda tabelo	Periodic table
Permjo	Perm
Multjare frostiĝinta tero	Permafrost
Permio	Permian
Permutaĵo	Permutation
Pernambuko	Pernambuco
Eterna movilo	Perpetual motion
Persefono	Persephone
Perseo	Perseus
Perseo (konstelacio)	Perseus (constellation)
Persio	Persian Empire
Persa Golfo	Persian Gulf
Poŝkomputilo	Personal digital assistant
Perto	Perth
Peruo	Peru
Kategorio:Peruo	Peru
Pesticido	Pesticide
Abelardo	Peter Abelard
Petro Paŭlo Rubens	Peter Paul Rubens
Peter Sellers	Peter Sellers
Francesco Petrarca	Petrarch
Nafto	Petroleum
Petrologio	Petrology
Faraono	Pharaoh
Farmakologio	Pharmacology
Faringo	Pharynx
Fazo de materio	Phase (matter)
Fenolo	Phenol
Fenomenologio	Phenomenology
Fenotipo	Phenotype
Fenilalanino	Phenylalanine
Fio (litero)	Phi (letter)
Filadelfio (Pensilvanio)	Philadelphia
Filatelo	Philately
Filipo la 2-a (Makedonio)	Philip II of Macedon
Filipo la 2-a (Hispanio)	Philip II of Spain
Philipp Lenard	Philipp Lenard
Filipinoj	Philippines
Kategorio:Filipinoj	Philippines
Filologio	Philology
Kategorio:Filologio	Philology
Ŝtono de la saĝuloj	Philosopher's stone
Filozofio	Philosophy
Kategorio:Filozofio	Philosophy
Pnom-Peno	Phnom Penh
Fobio	Phobia
Fobo	Phobos (moon)
Fenicio	Phoenicia
Fenikso (Arizono)	Phoenix
Fenikso	Phoenix
Fenikso (konstelacio)	Phoenix (constellation)
Fenikso (birdo)	Phoenix (mythology)
Fenikso (kosmosondilo)	Phoenix (spacecraft)
Fonemo	Phoneme
Fonetiko	Phonetics
Kategorio:Fonetiko	Phonetics
Fonologio	Phonology
Fosfato	Phosphate
Fosforo	Phosphorus
Fotografio	Photography
Kategorio:Fotado	Photography
Fotono	Photon
Fotosintezo	Photosynthesis
Filumo	Phylum
Fizika kemio	Physical chemistry
Kategorio:Fizika kemio	Physical chemistry
Kuracisto	Physician
Fiziko	Physics
Kategorio:Fiziko	Physics
Fiziologio	Physiology
Kategorio:Fiziologio	Physiology
Pi (nombro)	Pi
Pio (litero)	Pi (letter)
Piano	Piano
Pikardio	Picardie
Pegoformaj birdoj	Piciformes
Pentristo (konstelacio)	Pictor
Piĝino	Pidgin
Pidgin	Pidgin (software)
Piemonto	Piedmont
Pierre (Suda Dakoto)	Pierre
Pierre Curie	Pierre Curie
Pierre de Fermat	Pierre de Fermat
Piet Mondriaan	Piet Mondrian
Pieter Zeeman	Pieter Zeeman
Pigmento	Pigment
Plzeň	Pilsen
Pinacoj	Pinaceae
Pindaro	Pindar
Pino	Pine
Ananaso	Pineapple
Roza	Pink
Pirato	Piracy
Pizo (Italio)	Pisa
Fiŝoj (konstelacio)	Pisces (constellation)
Piŝto	Piston
Pittsburgh (Pensilvanio)	Pittsburgh
Hipofizo	Pituitary gland
Rastrumero	Pixel
Pico	Pizza
Plagiato	Plagiarism
Ebeno (matematiko)	Plane (mathematics)
Planedo	Planet
Planeduma nebulozo	Planetary nebula
Planktono	Plankton
Planto	Plant
Plasmo	Plasma (physics)
Plasmido	Plasmid
Plasto	Plastic
Plata tektoniko	Plate tectonics
Trombocito	Platelet
Plateno	Platinum
Platono	Plato
Ornitorinko	Platypus
Playboy	Playboy
Ludkarto	Playing card
Plejadoj	Pleiades (star cluster)
Plejstoceno	Pleistocene
Plinio la pli maljuna	Pliny the Elder
Gaius Plinius Caecilius Secundus minor	Pliny the Younger
Plioceno	Pliocene
Plotino	Plotinus
Plovdiv	Plovdiv
Plutarko	Plutarch
Plutono	Pluto
Plutonio	Plutonium
Plymouth	Plymouth
Pneŭmonio	Pneumonia
Pado#Pado - rivero	Po River
Poacoj	Poaceae
Podkasto	Podcast
Poezio	Poetry
Kategorio:Poezio	Poetry
Pogromo	Pogrom
Punkto	Point (geometry)
Veneno	Poison
Poitiers	Poitiers
Puatuo-Ĉarentoj	Poitou-Charentes
Pokero	Poker
Pollando	Poland
Kategorio:Pollando	Poland
Blanka urso	Polar bear
Polico	Police
Poliomjelito	Poliomyelitis
Partio (politiko)	Political party
Politika scienco	Political science
Politikisto	Politician
Politiko	Politics
Kategorio:Politiko	Politics
Poleno	Pollen
Polenado	Pollination
Poluo	Pollution
Polonio	Polonium
Poligamio	Polygamy
Plurlatero	Polygon
Pluredro	Polyhedron
Polimnio	Polyhymnia
Polimero	Polymer
Polinezio	Polynesia
Polinomo	Polynomial
Politeismo	Polytheism
Polivinil-klorido	Polyvinyl chloride
Granato	Pomegranate
Pampelmuso	Pomelo
Pompejo (urbo)	Pompeii
Pompeo	Pompey
Pontio Pilato	Pontius Pilate
Poparto	Pop art
Pop-muziko	Pop music
Papo	Pope
Aleksandro la 6-a	Pope Alexander VI
Poploj	Poplar
Loĝantaro	Population
Popolismo	Populism
Porcelano	Porcelain
Pornografio	Pornography
Haveno	Port
Port-Moresbo	Port Moresby
Portoprinco	Port-au-Prince
Portlando (Oregono)	Portland
Porto	Porto
Portreto	Portrait
Portsmouth	Portsmouth
Portugalio	Portugal
Kategorio:Portugalio	Portugal
Pozidono	Poseidon
Pozitrono	Positron
Poŝtmarko	Postage stamp
Poŝtkodo	Postal code
Postmodernismo	Postmodernism
Kalio	Potassium
Terpomo	Potato
Potsdamo	Potsdam
Funto	Pound (mass)
Brita pundo	Pound sterling
Malriĉeco	Poverty
Povumo	Power (physics)
Centralo	Power station
Pretoro	Praetor
Prago	Prague
Kategorio:Prago	Prague
Prajo	Praia
Prazeodimo	Praseodymium
Preĝo	Prayer
Antaŭkambrio	Precambrian
Precesio	Precession
Precipitaĵo	Precipitation (meteorology)
Gravedeco	Pregnancy
Prahistorio	Prehistory
Kategorio:Prahistorio	Prehistory
Prezidento	President
Prezidanto de Usono	President of the United States
Premo	Pressure
Ĉvaneo	Pretoria
Priamo	Priam
Prezo	Price
Sacerdoto	Priest
Primatoj	Primate
Kategorio:Primatoj	Primates
Grenviĉa Meridiano	Prime Meridian
Ĉefministro	Prime minister
Primo	Prime number
Insulo de Princo Eduardo	Prince Edward Island
Princo de Kimrujo	Prince of Wales
Universitato Princeton	Princeton University
Presarto	Printing
Priono	Prion
Prismo	Prism (geometry)
Prismo (optiko)	Prism (optics)
Malliberejo	Prison
Militkaptito	Prisoner of war
Premio Goncourt	Prix Goncourt
Probablo	Probability
Probablokalkulo	Probability theory
Kategorio:Teorio de probabloj	Probability theory
Procionedoj	Procyonidae
Profesoro	Professor
Profito	Profit
Programlingvo	Programming language
Progresiva roko	Progressive rock
Prokarioto	Prokaryote
Prolog	Prolog
