Russian	English
Беверли-Хиллз (Калифорния)	Beverly Hills
Бей	Bey
Бутан	Bhutan
Категория:Бутан	Bhutan
Библия	Bible
Категория:Библия	Bible
Библиография	Bibliography
Велосипед	Bicycle
Большой взрыв	Big Bang
Бихар	Bihar
Бикини	Bikini
Жёлчь человека	Bile
Клинтон, Уильям Джефферсон	Bill Clinton
Гейтс, Билл	Bill Gates
Уайлдер, Билли	Billy Wilder
Двойная звезда	Binary star
Бинокль	Binoculars
Биохимия	Biochemistry
Категория:Биохимия	Biochemistry
Биоразнообразие	Biodiversity
Биогеография	Biogeography
Биография	Biography
Портал:Персоналии	Biography
Биологическое оружие	Biological warfare
Биология	Biology
Категория:Биология	Biology
Портал:Биология	Biology
Биомасса	Biomass
Природная зона	Biome
Биометрия	Biometrics
Биофизика	Biophysics
Биопсия	Biopsy
Биосфера	Biosphere
Биотехнология	Biotechnology
Категория:Биотехнология	Biotechnology
Биотин	Biotin
Биполярное аффективное расстройство	Bipolar disorder
Берёза	Birch
Птицы	Bird
Бирмингем (Алабама)	Birmingham
Контрацепция	Birth control
Бисексуальность	Bisexuality
Бишкек	Bishkek
Епископ	Bishop
Слон (шахматы)	Bishop (chess)
Бисмарк (Северная Дакота)	Bismarck
Бисмарк (значения)	Bismarck (disambiguation)
Висмут	Bismuth
Бисау	Bissau
Бит	Bit
Вифиния	Bithynia
Двустворчатые	Bivalvia
Чёрный цвет	Black
Чёрная смерть	Black Death
Шварцвальд	Black Forest
Чёрный коршун	Black Kite
Чёрное море	Black Sea
Чёрный аист	Black Stork
Абсолютно чёрное тело	Black body
Чёрная дыра	Black hole
Перец чёрный	Black pepper
Чёрный дрозд	Blackbird
Паскаль, Блез	Blaise Pascal
Blender	Blender (software)
Слепота	Blindness
Блицкриг	Blitzkrieg
Блумфонтейн	Bloemfontein
Блог	Blog
Кровь	Blood
Плазма крови	Blood plasma
Кровяное давление	Blood pressure
Группы крови	Blood type
Кровеносный сосуд	Blood vessel
Синий цвет	Blue
Синий кит	Blue Whale
Блюз	Blues
Дикий кабан	Boar
Настольная игра	Board game
Лодка	Boat
Дилан, Боб	Bob Dylan
Марли, Роберт Неста	Bob Marley
Фишер, Роберт Джеймс	Bobby Fischer
Бобслей	Bobsleigh
Бодхисаттва	Bodhisattva
Индекс массы тела	Body mass index
Бодибилдинг	Bodybuilding
Чехия (историческая область)	Bohemia
Борий	Bohrium
Температура кипения	Boiling point
Бойсе (Айдахо)	Boise
Белый гриб	Boletus edulis
Боливия	Bolivia
Категория:Боливия	Bolivia
Болливуд	Bollywood
Болонья	Bologna
Большевик	Bolshevik
Больцано (город)	Bolzano
Бомба	Bomb
Бомбардировщик	Bomber
Тутовый шелкопряд	Bombyx mori
Облигация	Bond (finance)
Кость	Bone
Костный мозг человека	Bone marrow
Бонн	Bonn
Бонсай	Bonsai
Книга	Book
Книга Есфирь	Book of Esther
Книга Иисуса Навина	Book of Joshua
Книга Судей Израилевых	Book of Judges
Книга Мормона	Book of Mormon
Книга Числа	Book of Numbers
Откровение Иоанна Богослова	Book of Revelation
Книга Руфь	Book of Ruth
Булева алгебра	Boolean algebra (structure)
Бумеранг	Boomerang
Бордо	Bordeaux
Борис Годунов	Boris Godunov
Пастернак, Борис Леонидович	Boris Pasternak
Спасский, Борис Васильевич	Boris Spassky
Калимантан	Borneo
Бор (элемент)	Boron
Босния и Герцеговина	Bosnia and Herzegovina
Категория:Босния и Герцеговина	Bosnia and Herzegovina
Бозон (элементарная частица)	Boson
Босфор	Bosporus
Бостон	Boston
Бостонское чаепитие	Boston Tea Party
Шаблон:Bot	Bot
Ботанический сад	Botanical garden
Ботаника	Botany
Категория:Ботаника	Botany
Ботсвана	Botswana
Категория:Ботсвана	Botswana
Бутылка	Bottle
Афалина	Bottlenose Dolphin
Буржуазия	Bourgeoisie
Бургундия	Bourgogne
Буве	Bouvet Island
Полорогие	Bovid
Лук (оружие)	Bow (weapon)
Боулинг	Bowling
Боксёр (порода собак)	Boxer (dog)
Категория:Боксёры	Boxers
Бокс	Boxing
Категория:Бокс	Boxing
Скобки	Bracket
Брага (Португалия)	Braga
Брахма	Brahma
Брахмапутра	Brahmaputra River
Шрифт Брайля	Braille
Головной мозг	Brain
Метод мозгового штурма	Brainstorming
Стокер, Брэм	Bram Stoker
Бранденбург	Brandenburg
Бренди	Brandy
Латунь	Brass
Капустные	Brassicaceae
Бюстгальтер	Brassiere
Братислава	Bratislava
Брауншвейг	Braunschweig
Бразилия	Brazil
Категория:Бразилия	Brazil
Браззавиль	Brazzaville
Хлеб	Bread
Женская грудь	Breast
Злокачественные новообразования молочной железы	Breast cancer
Бремен	Bremen
Бремен (федеральная земля)	Bremen (state)
Бремерхафен	Bremerhaven
Брешиа	Brescia
Брест (Франция)	Brest
Брест (Белоруссия)	Brest
Брест	Brest
Бретань	Bretagne
Кирпич	Brick
Мост	Bridge
Категория:Мосты	Bridges
Бриджтаун	Bridgetown
Бригада	Brigade
Брайтон	Brighton
Бриндизи	Brindisi
Брисбен	Brisbane
Бристоль	Bristol
Британская Колумбия	British Columbia
Британская империя	British Empire
Британские острова	British Isles
Британские Виргинские острова	British Virgin Islands
Категория:Персоналии:Великобритания	British people
Брно	Brno
Бродвей (улица)	Broadway (New York City)
Брокколи	Broccoli
Бром	Bromine
Бронза	Bronze
Бронзовый век	Bronze Age
Бруклин	Brooklyn
Бруклинский мост	Brooklyn Bridge
Коричневый цвет	Brown
Бурый медведь	Brown Bear
Броуновское движение	Brownian motion
Ли, Брюс	Bruce Lee
Брюгге	Bruges
Бруней	Brunei
Категория:Бруней	Brunei
Брюссель	Brussels
Чума	Bubonic plague
Бухарест	Bucharest
Букингемский дворец	Buckingham Palace
Фуллер, Ричард Бакминстер	Buckminster Fuller
Гречиха#.D0.93.D1.80.D0.B5.D1.87.D0.B8.D1.85.D0.B0 .D0.BE.D0.B1.D1.8B.D0.BA.D0.BD.D0.BE.D0.B2.D0.B5.D0.BD.D0.BD.D0.B0.D1.8F	Buckwheat
Будапешт	Budapest
Будда	Buddha
Буддизм	Buddhism
Категория:Буддизм	Buddhism
Бадди Холли	Buddy Holly
Буэнос-Айрес	Buenos Aires
Буффало	Buffalo
Здание	Building
Бужумбура	Bujumbura
Болгария	Bulgaria
Категория:Болгария	Bulgaria
Шмели	Bumblebee
Закон Архимеда	Buoyancy
Бюрократия	Bureaucracy
Бургомистр	Burgomaster
Буркина Фасо	Burkina Faso
Категория:Буркина Фасо	Burkina Faso
Мьянма	Burma
Категория:Мьянма	Burma
Бурса (город)	Bursa
Категория:Бурунди	Burundi
Автобус	Bus
Шина (компьютеры)	Bus (computing)
Предприятие	Business
Категория:Предприниматели	Businesspeople
Китон, Бастер	Buster Keaton
Бутан (химия)	Butane
Сливочное масло	Butter
Чешуекрылые	Butterfly
Эффект бабочки	Butterfly effect
Быдгощ	Bydgoszcz
Байт	Byte
Категория:Византия	Byzantine Empire
C (латиница)	C
Си (язык программирования)	C (programming language)
Льюис, Клайв Стэйплз	C. S. Lewis
CD (значения)	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
Си-Эн Тауэр	CN Tower
КОБОЛ	COBOL
Кабаре	Cabaret
Какао	Cacao
Кэш	Cache
Кактусовые	Cactus
Кадмий	Cadmium
Кадм	Cadmus
Резец (созвездие)	Caelum
Цезий	Caesium
Кофеин	Caffeine
Каир	Cairo
Кекс	Cake
Калабрия	Calabria
Кале	Calais
Кальцит	Calcite
Кальций	Calcium
Карбонат кальция	Calcium carbonate
Оксид кальция	Calcium oxide
Калькулятор	Calculator
Математический анализ	Calculus
Кальдера	Caldera
Календарь	Calendar
Калибр	Caliber
Калифорния	California
Категория:Калифорния	California
Калифорний	Californium
Калигула	Caligula
Халиф	Caliph
Халифат	Caliphate
Каллиграфия	Calligraphy
Каллиопа	Calliope
Каллисто (спутник)	Callisto (moon)
Каллисто	Callisto (mythology)
Калория	Calorie
Кальвадос (департамент)	Calvados
Голгофа	Calvary
Кулидж, Калвин	Calvin Coolidge
Кальвинизм	Calvinism
Калипсо	Calypso (mythology)
Камбоджа	Cambodia
Категория:Камбоджа	Cambodia
Кембрий	Cambrian
Кембридж	Cambridge
Кембридж (Массачусетс)	Cambridge
Кембридж (значения)	Cambridge (disambiguation)
Верблюды	Camel
Камамбер	Camembert (cheese)
Фотоаппарат	Camera
Камерун	Cameroon
Категория:Камерун	Cameroon
Кампания	Campania
Канада	Canada
