English	Swedish
Literature	Portal:Litteratur
Lithium	Litium
Lithography	Litografi
Lithosphere	Litosfär
Lithuania	Litauen
Lithuania	Kategori:Litauen
Litre	Liter
Little Owl	Minervauggla
Liverpool	Liverpool
Livonia	Livland
Livy	Titus Livius
Lizard	Ödlor
Ljubljana	Ljubljana
Llama	Lama
Loanword	Lånord
Local area network	Local Area Network
Loch Ness	Loch Ness
Loch Ness Monster	Loch Ness-odjuret
Locomotive	Lok
Logarithm	Logaritm
Logic	Logik
Logic	Kategori:Logik
Logic gate	Logisk grind
Logistics	Logistik
Logo	Logotyp
Loire	Loire (departement)
Loire River	Loire
Loki	Loke
Lolita	Lolita (roman)
Lombardy	Lombardiet
London	London
London	Kategori:London
Long Beach	Long Beach, Kalifornien
Long Island	Long Island
Long jump	Längdhopp
Long-eared Owl	Hornuggla
Lope de Vega	Lope de Vega
Lord's Prayer	Herrens bön
Lorraine (region)	Lorraine
Los Angeles	Los Angeles
Lot (department)	Lot (departement)
Loudspeaker	Högtalare
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Louis the Pious	Ludvig den fromme
Louis the Stammerer	Ludvig den stammande
Louisiana	Louisiana
Louisiana	Kategori:Louisiana
Louisville	Louisville
Louvre	Louvren
Love	Kärlek
Low German	Lågtyska
Lower Saxony	Niedersachsen
Luanda	Luanda
Lublin	Lublin
Lucerne	Luzern
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Lucretius	Lucretius
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luftwaffe	Tysklands flygvapen
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen (unit)	Lumen
Luminescence	Luminiscens
Lunar eclipse	Månförmörkelse
Lund	Lund
Lung	Lunga
Lung cancer	Lungcancer
Lungfish	Lungfiskar
Lupus (constellation)	Vargen (stjärnbild)
Lusaka	Lusaka
Lute	Luta
Lutetium	Lutetium
Lutheranism	Lutheraner
Lux	Lux
Luxembourg	Luxemburg
Luxembourg	Kategori:Luxemburg
Luxembourg (city)	Luxemburg (stad)
Luxor	Luxor
Luzon	Luzon
Lychee	Litchi
Lydia	Lydien
Lymphatic system	Lymfatiska systemet
Lynx (constellation)	Lodjuret
Lynx (web browser)	Lynx (webbläsare)
Lyon	Lyon
Lyra	Lyran (stjärnbild)
Lysergic acid diethylamide	LSD
Lysine	Lysin
Lysosome	Lysosom
M	M
M-theory	M-teori
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Macau	Macao
Macbeth	Macbeth (pjäs)
Macedonia	Makedonien (olika betydelser)
Macedonia (Greece)	Makedonien (region i Grekland)
Mach number	Mach
Machine	Maskin
Machine code	Maskinkod
Machine gun	Kulspruta
Machine translation	Maskinöversättning
Machu Picchu	Machu Picchu
Macintosh	Macintosh
Macroeconomics	Makroekonomi
Macroeconomics	Kategori:Makroekonomi
Madagascar	Madagaskar
Madagascar	Kategori:Madagaskar
Madeira	Madeira
Madison	Madison, Wisconsin
Madonna (entertainer)	Madonna (artist)
Madrid	Madrid
Madrid (autonomous community)	Madrid (autonom region)
Mafia	Maffia
Magazine	Tidskrift
Magenta	Magenta
Maghreb	Maghreb
Magic (paranormal)	Magi
Magic square	Magisk kvadrat
Maginot Line	Maginotlinjen
Magma	Magma
Magna Carta	Magna Charta
Magnesium	Magnesium
Magnet	Magnet
Magnetic field	Magnetfält
Magnetic resonance imaging	Magnetisk resonanstomografi
Magnetism	Magnetism
Magnetism	Kategori:Magnetism
Magnetite	Magnetit
Magnifying glass	Förstoringsglas
Magnoliopsida	Kategori:Eudicotyledonae
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Mahayana
Mail	Post
Maimonides	Maimonides
Main	Main
Main	Mall:Huvudartikel
Maine	Maine
Maine	Kategori:Maine
Mainframe computer	Stordator
Maitreya	Maitreya
Maize	Majs
Major	Major
Major scale	Dur
Majorca	Mallorca
Makalu	Makalu
Malabo	Malabo
Malachite	Malakit
Malacostraca	Storkräftor
Malaria	Malaria
Malawi	Kategori:Malawi
Malay Peninsula	Malackahalvön
Malayan Tapir	Schabraktapir
Malaysia	Malaysia
Malaysia	Kategori:Malaysia
Malcolm X	Malcolm X
Maldives	Maldiverna
Maldives	Kategori:Maldiverna
Mali	Mali
Mali	Kategori:Mali
Mallard	Gräsand
Malta	Malta
Malta	Kategori:Malta
Maltese language	Maltesiska
Maltose	Maltos
Malvaceae	Malvaväxter
Mammal	Däggdjur
Mammoth	Mammutar
Management	Ledarskap
Managua	Managua
Manama	Manama
Manatee	Manater
Manchester	Manchester
Manchuria	Manchuriet
Mandala	Mandala
Mandarin (linguistics)	Mandarin (språk)
Mandarin orange	Mandarin (frukt)
Mandelbrot set	Mandelbrotmängden
Manganese	Mangan
Mango	Mangosläktet
Mangrove	Mangrove
Manhattan	Manhattan
Manhattan Project	Manhattanprojektet
Manichaeism	Manikeism
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Mannerism	Manierism
Mannheim	Mannheim
Mantle (geology)	Manteln
Mantra	Mantra
Mantua	Mantua
Manuel de Falla	Manuel de Falla
Manuscript	Handskrift
Mao Zedong	Mao Zedong
Maoism	Maoism
Map	Karta
Maple	Lönnsläktet
Maputo	Maputo
Marathon	Maraton
Marble	Marmor
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
March	Mars
March 17	17 mars
March 19	19 mars
March 2	2 mars
March 25	25 mars
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marcus Junius Brutus	Marcus Junius Brutus
Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Mariana Islands	Marianerna
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Mark Antony	Marcus Antonius
Mark Twain	Mark Twain
Market	Marknad
Marketing	Marknadsföring
Marketing	Kategori:Marknadsföring
Markup language	Märkspråk
Marlene Dietrich	Marlene Dietrich
Marquis de Sade	Markis de Sade
Marrakech	Marrakech
Marriage	Äktenskap
Mars	Kategori:Mars
Mars (disambiguation)	Mars (olika betydelser)
Mars (mythology)	Mars (mytologi)
Marseille	Marseille
Marshall Islands	Marshallöarna
Marshall Islands	Kategori:Marshallöarna
Marshall Plan	Marshallplanen
Marsupial	Pungdjur
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navratilova
Martinique	Martinique
Martyr	Martyr
Marx Brothers	Bröderna Marx
Marxism	Marxism
Marxism	Kategori:Marxism
Mary (mother of Jesus)	Jungfru Maria
Mary Magdalene	Maria från Magdala
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Maryland	Kategori:Maryland
Maseru	Maseru
Mashhad	Mashhad
Mass	Massa
Mass (liturgy)	Mässa
Mass number	Masstal
Massachusetts	Massachusetts
Massachusetts	Kategori:Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbation	Onani
Mata Hari	Mata Hari
Match	Tändsticka
Materialism	Materialism
Mathematical logic	Matematisk logik
Mathematical logic	Kategori:Matematisk logik
Mathematical proof	Bevis
Mathematics	Matematik
Mathematics	Kategori:Matematik
Matrix (mathematics)	Matris (matematik)
Matter	Materia
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Maundy Thursday	Skärtorsdagen
Maurice Ravel	Maurice Ravel
Mauritania	Mauretanien
Mauritania	Kategori:Mauretanien
Mauritius	Mauritius
Mauritius	Kategori:Mauritius
Max Born	Max Born (fysiker)
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximian	Maximianus
Maxwell's equations	Maxwells ekvationer
May	Maj
May 1	1 maj
May 24	24 maj
Mayenne	Mayenne
Mayfly	Dagsländor
Mayonnaise	Majonnäs
Mayor	Borgmästare
Mbabane	Mbabane
McCarthyism	McCarthyism
Mead	Mjöd
Measles	Mässling
Measure (mathematics)	Mått (matematik)
Measurement	Kategori:Mätteknik
Measurement	Mätning
Meat	Kött
Mecca	Mekka
Mechanical engineering	Maskinteknik
Mechanical engineering	Kategori:Maskinteknik
Mechanics	Kategori:Mekanik
Medea	Medea
Median	Median
Medication	Läkemedel
Medici	Medici
Medicine	Medicinsk vetenskap
Medicine	Kategori:Medicin
Medina	Medina
Meditation	Meditation
Mediterranean	Kategori:Medelhavet
Mediterranean Sea	Medelhavet
Medusa	Medusa
Meerkat	Surikat
Meiosis	Meios
Meister Eckhart	Johannes Eckhart
Meitnerium	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesia	Melanesien
Melody	Melodi
Melpomene	Melpomene
Melting	Smältning
Melting point	Smältpunkt
Meme	Mem
Memory	Minne
Memphis	Memphis, Tennessee
Memphis	Memfis
Menachem Begin	Menachem Begin
Mendelevium	Mendelevium
Menelaus	Menelaos
Meningitis	Hjärnhinneinflammation
Mensa (constellation)	Taffelberget (stjärnbild)
Menstrual cycle	Menstruation
Mental disorder	Psykisk störning
Mentha	Myntor
Mercantilism	Merkantilism
Mercenary	Legosoldat
Mercury	Mercury
Mercury (element)	Kvicksilver
Mercury (mythology)	Mercurius
Mercury (planet)	Merkurius
Meridian (geography)	Meridian
Meritocracy	Meritokrati
Mermaid	Sjöjungfru
Merovingian	Merovinger
Meryl Streep	Meryl Streep
Mescaline	Meskalin
Mesolithic	Mesolitikum
Meson	Meson
Mesopotamia	Mesopotamien
Mesopotamia	Kategori:Mesopotamien
Mesosphere	Mesosfär
Mesozoic	Mesozoikum
Messenger RNA	Budbärar-RNA
Messiah	Messias
Messina	Messina
Metabolism	Metabolism
Metadata	Metadata
Metal	Metall
Metallic bond	Metallbindning
Metalloid	Metalloid
Metallurgy	Metallurgi
Metallurgy	Kategori:Metallurgi
Metamorphic rock	Metamorf bergart
Metaphor	Metafor
Metaphysics	Metafysik
Metaphysics	Kategori:Metafysik
Metastasis	Metastas
Meteor shower	Meteorregn
Meteorite	Meteorit
Meteoroid	Meteoroid
Meteorology	Kategori:Meteorologi
Meteorology	Meteorologi
Methadone	Metadon
Methamphetamine	Metamfetamin
Methanol	Metanol
Methionine	Metionin
Methodism	Metodism
Methylenedioxymethamphetamine	Ecstasy
Metis (moon)	Metis (måne)
Metonymy	Metonym
Metre	Meter
Metric space	Metriskt rum
Meuse	Meuse
Meuse River	Meuse (flod)
Mexico	Mexiko
Mexico	Kategori:Mexiko
Mexico City	Mexico City
Miami	Miami
Mica	Glimmer
Michael (archangel)	Mikael (ärkeängel)
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo	Michelangelo Buonarroti
Michigan	Michigan
Michigan	Kategori:Michigan
Mick Jagger	Mick Jagger
Mickey Mouse	Musse Pigg
Microbiology	Mikrobiologi
Microbiology	Kategori:Mikrobiologi
Microeconomics	Mikroekonomi
Microeconomics	Kategori:Mikroekonomi
Micronesia	Mikronesien
Microorganism	Mikroorganism
Microphone	Mikrofon
Microprocessor	Mikroprocessor
Microscope	Mikroskop
Microscopium	Mikroskopet
Microwave	Mikrovågor
Microwave oven	Mikrovågsugn
Middle Ages	Medeltiden
Middle Ages	Kategori:Medeltiden
Middle East	Mellanöstern
Middle East	Kategori:Mellanöstern
Midnight sun	Midnattssol
Migraine	Migrän
Miguel de Cervantes	Miguel Cervantes
Mike Tyson	Mike Tyson
Mikhail Bakunin	Michail Bakunin
Mikhail Glinka	Michail Glinka
Mikhail Gorbachev	Michail Gorbatjov
Milan	Milano
Mile	Engelsk mil
Miles Davis	Miles Davis
Milk	Mjölk
Milky Way	Vintergatan
Millard Fillmore	Millard Fillmore
Millennium	Millennium
Million	Miljon
Millipede	Dubbelfotingar
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minaret	Minaret
Mindanao	Mindanao
Mineral	Mineral
Mineral water	Mineralvatten
Mineralogy	Mineralogi
Mineralogy	Kategori:Mineralogi
Minerva	Minerva
Ming Dynasty	Mingdynastin
Minimalism	Minimalism
Mining	Gruvdrift
Minister (government)	Statsråd
Minneapolis	Minneapolis
Minnesota	Minnesota
Minnesota	Kategori:Minnesota
Minoan civilization	Minoer
Minor scale	Moll
Minos	Minos
Minotaur	Minotauros
Minsk	Minsk
Minute	Minut
Miocene	Miocen
Miracle	Mirakel
Mirror	Spegel
Mishnah	Mishna
Mississippi	Kategori:Mississippi
Mississippi River	Mississippifloden
Missouri	Missouri
Missouri	Kategori:Missouri
Missouri River	Missourifloden
Mitochondrion	Mitokondrie
Mnemosyne	Mnemosyne
Mobile phone	Mobiltelefoni
Modem	Modem
Modernism	Modernism
Modest Mussorgsky	Modest Musorgskij
Modulation	Modulation
Mogadishu	Mogadishu
Moirae	Moirerna
Mold	Mögel
Moldova	Moldavien
Moldova	Kategori:Moldavien
Mole (unit)	Mol
Molecular biology	Molekylärbiologi
Molecular biology	Kategori:Molekylärbiologi
Molecule	Molekyl
Molise	Molise
Mollusca	Blötdjur
Molotov cocktail	Molotovcocktail
Molybdenum	Molybden
Mombasa	Mombasa
Momentum	Rörelsemängd
Monaco	Monaco
Monaco	Kategori:Monaco
Monarch	Monark
Monarchy	Monarki
Monarchy	Kategori:Monarki
Monastery	Kloster
Monday	Måndag
Money	Pengar
Mongolia	Mongoliet
Mongolia	Kategori:Mongoliet
Mongoose	Manguster
Monica Seles	Monica Seles
Monism	Monism
Monocotyledon	Enhjärtbladiga växter
Monomer	Monomer
Monopoly	Monopol
Monopoly (game)	Monopol (spel)
Monosaccharide	Monosackarid
Monosodium glutamate	Natriumglutamat
Monotheism	Monoteism
Monotreme	Kloakdjur
Monroe Doctrine	Monroedoktrinen
Monrovia	Monrovia
Mons	Mons
Monsoon	Monsun
Mont Blanc	Mont Blanc
Montana	Montana
Montana	Kategori:Montana
Monte Carlo	Monte Carlo
Montenegro	Montenegro
Montenegro	Kategori:Montenegro
Monterrey	Monterrey
Montevideo	Montevideo
Montgomery	Montgomery, Alabama
Month	Månad
Montpelier	Montpelier, Vermont
Montreal	Montréal
Montserrat	Montserrat
Moon	Månen
Moose	Älg
Morality	Moral
Moravia	Mähren
Morocco	Marocko
Morocco	Kategori:Marocko
Morpheme	Morfem
Morphine	Morfin
Morphology	Morfologi
Morphology (linguistics)	Morfologi (lingvistik)
Morse code	Morsealfabetet
Mortar (weapon)	Granatkastare
Mosaic	Mosaik
Moscow	Moskva
Moscow	Kategori:Moskva
Moselle	Moselle
Moses	Mose
Moshe Dayan	Moshe Dayan
Mosque	Moské
Moss	Bladmossor
Mossad	Mossad
Mosul	Mosul
Motet	Motett
Mother	Moder
Mother Teresa	Moder Teresa
Mother's Day	Mors dag
Motion (physics)	Rörelse (fysik)
Motorcycle	Motorcykel
Motto	Valspråk
Mount Ararat	Ararat
Mount Athos	Athos
Mount Etna	Etna
Mount Everest	Mount Everest
Mount Fuji	Fuji
Mount Kilimanjaro	Kilimanjaro
Mount McKinley	Mount McKinley
Mount Olympus	Olympen
Mount Pinatubo	Pinatubo
Mount Rushmore	Mount Rushmore National Memorial
Mount St. Helens	Mount Saint Helens
Mount Vesuvius	Vesuvius
Mountain	Berg
Mountain bike	Mountainbike
Mountain range	Bergskedja
Mouse	Möss
Mouse (computing)	Datormus
Mozambique	Moçambique
Mozambique	Kategori:Moçambique
Mu (letter)	My
Muezzin	Muezzin
Muhammad	Muhammed
Muhammad Ali	Muhammad Ali
Mulberry	Mullbärssläktet
Mule	Mula
Multimedia	Multimedier
Multiple sclerosis	Multipel skleros
Multiplication	Multiplikation
Mumbai	Bombay
Mummy	Mumie
Munich	München
Municipality	Kommun
Muon	Myon
Murmansk	Murmansk
Murphy's law	Murphys lag
Murray Gell-Mann	Murray Gell-Mann
Musa (genus)	Bananer
Musca	Flugan (stjärnbild)
Muscat	Muskat
Muscle	Muskel
Muse	Muserna
Museum	Museum
Mushroom	Svampar
Music	Musik
Music	Kategori:Musik
Musical Instrument Digital Interface	MIDI
Musical instrument	Musikinstrument
Musical scale	Skala (musik)
Musician	Musiker
Musicology	Musikvetenskap
Musket	Musköt
Mustelidae	Mårddjur
Mutation	Mutation
Mute Swan	Knölsvan
Myanmar	Kategori:Burma
Mycenae	Mykene
Mycology	Mykologi
Myocardial infarction	Hjärtinfarkt
Myopia	Närsynthet
Myriapoda	Mångfotingar
Mysticism	Mystik
Myth	Myt
Mythology	Mytologi
Mythology	Kategori:Mytologi
N	N
N'Djamena	N'Djamena
NASDAQ	NASDAQ
NATO	Nato
NATO	Kategori:NATO
Nadine Gordimer	Nadine Gordimer
Nagasaki	Nagasaki
Nagoya	Nagoya
Nahuatl	Nahuatl
Nail (anatomy)	Naglar
Nail (fastener)	Spik
Nairobi	Nairobi
Namib Desert	Namiböknen
Namibia	Namibia
Namibia	Kategori:Namibia
Namur (city)	Namur
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanjing	Nanjing
Nanotechnology	Nanoteknik
Nantes	Nantes
Napalm	Napalm
Naples	Neapel
Napoleonic Wars	Napoleonkrigen
Narcissus (mythology)	Narkissos
Nashville	Nashville
Nassau	Nassau, Bahamas
Nathaniel Hawthorne	Nathaniel Hawthorne
Nation	Nation
National Security Agency	National Security Agency
National anthem	Nationalsång
National park	Nationalpark
Nationalism	Nationalism
Nationalism	Kategori:Nationalism
Natural gas	Naturgas
Natural number	Naturliga tal
Natural science	Naturvetenskap
Natural selection	Naturligt urval
Nature	Natur
Nature	Kategori:Natur
Naturism	Naturism
Nauru	Nauru
Nauru	Kategori:Nauru
Nautical mile	Nautisk mil
Navigation	Kategori:Navigation
Navigation	Navigation
Nazareth	Nasaret
Nazi Germany	Nazityskland
Nazi Germany	Kategori:Nazityskland
Nazi Party	Nationalsocialistiska tyska arbetarepartiet
Nazism	Kategori:Nazism
Neanderthal	Neandertalmänniska
Nebraska	Nebraska
Nebraska	Kategori:Nebraska
Nebuchadrezzar II	Nebukadnessar II
Nebula	Nebulosa
Neckar	Neckar
Necktie	Slips
Nefertiti	Nefertiti
Negev	Negev
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Nematode	Rundmaskar
Nemean Lion	Nemeiska lejonet
Nemesis (mythology)	Nemesis
Neodymium	Neodym
Neolithic	Neolitikum
Neologism	Neologism
Neon	Neon
Neoplatonism	Nyplatonism
Nepal	Nepal
Nepal	Kategori:Nepal
Nephthys	Neftys
Neptune	Neptunus
Neptunium	Neptunium
Nereid (moon)	Nereid
Nero	Nero
Nerva	Nerva
Nervous system	Nervsystemet
Nervous system	Kategori:Nervsystemet
Nest	Rede
Nestorianism	Nestorianism
Netherlands	Nederländerna
Netherlands	Kategori:Nederländerna
Netherlands Antilles	Nederländska Antillerna
Neurology	Neurologi
Neurology	Kategori:Neurologi
Neuron	Nervcell
Neurotransmitter	Signalsubstans
Neutrino	Neutrino
Neutron	Neutron
Neutron star	Neutronstjärna
Neva River	Neva
Nevada	Nevada
Nevada	Kategori:Nevada
Neville Chamberlain	Neville Chamberlain
New Brunswick	New Brunswick
New Caledonia	Nya Kaledonien
New Delhi	New Delhi
New England	New England
New Guinea	Nya Guinea
New Hampshire	New Hampshire
New Hampshire	Kategori:New Hampshire
New Jersey	New Jersey
New Jersey	Kategori:New Jersey
New Mexico	New Mexico
New Mexico	Kategori:New Mexico
New Orleans	New Orleans
New South Wales	New South Wales
New Testament	Nya testamentet
New World	Nya världen
New Year	Nyår
New York	New York (delstat)
New York	Kategori:New York
New York (disambiguation)	New York (olika betydelser)
New York City	New York
New York City	Kategori:New York City
New York Stock Exchange	New York Stock Exchange
New Zealand	Nya Zeeland
New Zealand	Kategori:Nya Zeeland
Newark	Newark, New Jersey
Newfoundland (island)	Newfoundland
Newfoundland and Labrador	Newfoundland och Labrador
Newport	Newport
Newton	Newton (enhet)
Niacin	Niacin
Niagara Falls	Niagarafallen
Niamey	Niamey
Nicaragua	Nicaragua
Nicaragua	Kategori:Nicaragua
Nice	Nice
Nicene Creed	Nicaenska trosbekännelsen
Nicholas	Huset Petrović Njegoš
Nickel	Nickel
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolaus Copernicus
Nicosia	Nicosia
Nicotine	Nikotin
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Niger	Kategori:Niger
Niger River	Niger (flod)
Nigeria	Nigeria
Nigeria	Kategori:Nigeria
Night	Natt
Nightingale	Sydnäktergal
Nihilism	Nihilism
Nijmegen	Nijmegen
Nike	Nike (företag)
Nike (mythology)	Nike (mytologi)
Nikita Khrushchev	Nikita Chrusjtjov
Nikola Tesla	Nikola Tesla
Nile	Nilen
Nile crocodile	Nilkrokodil
Nineveh	Nineve
Ninja	Ninja
Niobium	Niob
Nirvana	Nirvana
Nitric acid	Salpetersyra
Nitrogen	Kväve
Nitroglycerin	Nitroglycerin
Nix (moon)	Nix (måne)
Njord	Njord
Noah	Noa
Noam Chomsky	Noam Chomsky
Nobel Prize	Nobelpriset
Nobel Prize	Kategori:Nobelpriset
Nobelium	Nobelium
Nobility	Adel
Nobility	Kategori:Adel
Noble gas	Ädelgas
Nomad	Nomader
Nominative case	Nominativ
Nonmetal	Icke-metall
Norfolk	Norfolk, England
Norfolk Island	Norfolkön
Norma (constellation)	Vinkelhaken
Normal distribution	Normalfördelning
Norman Mailer	Norman Mailer
Normandy	Normandie
Norn	Nornor
Norse mythology	Nordisk mytologi
Norse mythology	Kategori:Nordisk mytologi
North	Norr
North Africa	Nordafrika
North America	Nordamerika
North America	Kategori:Nordamerika
North Carolina	North Carolina
North Carolina	Kategori:North Carolina
North Dakota	North Dakota
North Dakota	Kategori:North Dakota
North Island	Nordön
North Korea	Nordkorea
North Korea	Kategori:Nordkorea
North Pole	Nordpolen
North Sea	Nordsjön
North Yorkshire	North Yorkshire
Northern Europe	Nordeuropa
Northern Hemisphere	Norra halvklotet
Northern Ireland	Nordirland
Northern Ireland	Kategori:Nordirland
Northern Mariana Islands	Nordmarianerna
Northern Territory	Northern Territory
Northern pike	Gädda
Northwest Territories	Northwest Territories
Norway	Norge
Norway	Kategori:Norge
Norwegian Sea	Norska havet
Norwegian krone	Norsk krona
Nose	Näsa
Nostradamus	Nostradamus
Note	Notskrift
Nouakchott	Nouakchott
Noun	Substantiv
Nova Scotia	Nova Scotia
Novaya Zemlya	Novaja Zemlja
Novel	Roman
November	November
November 1	1 november
November 11	11 november
November 2	2 november
November 5	5 november
Novosibirsk	Novosibirsk
Nu (letter)	Ny
Nuclear fission	Fission
Nuclear fusion	Fusion
Nuclear physics	Kärnfysik
Nuclear power	Kärnkraft
Nuclear weapon	Kärnvapen
Nucleic acid	Nukleinsyra
Nucleon	Nukleon
Nucleotide	Nukleotid
Number	Tal (matematik)
Numbers	Kategori:Tal
Numidia	Numidien
Numismatics	Numismatik
Numismatics	Kategori:Numismatik
Nunavut	Nunavut
Nuremberg	Nürnberg
Nut (fruit)	Nöt
Nutmeg	Muskot
Nutrition	Kategori:Näringslära
Nymph	Nymf
Nymphaeaceae	Näckrosväxter
Nyx (mythology)	Nyx
O	O
OPEC	OPEC
Oahu	Oahu
Oak	Eksläktet
Oakland	Oakland, Kalifornien
Oasis	Oas
Oat	Havre
Oaxaca	Oaxaca
Ob River	Ob
Obelisk	Obelisk
Obesity	Övervikt
Object-oriented programming	Objektorienterad programmering
Oboe	Oboe
Observatory	Observatorium
Obsidian	Obsidian
Occam's razor	Ockhams rakkniv
Ocean	Hav#V.C3.A4rldshav
Ocean current	Havsström
Oceania	Oceanien
Oceania	Kategori:Oceanien
Oceanid	Okeanider
Oceanography	Oceanografi
Oceanography	Kategori:Oceanografi
Oceanus	Okeanos
Octal	Oktala talsystemet
Octans	Oktanten
Octave	Oktav
October	Oktober
October 12	12 oktober
October 24	24 oktober
October Revolution	Oktoberrevolutionen
Octopus	Åttaarmade bläckfiskar
Ode	Ode
Oder River	Oder
Odessa	Odessa
Odin	Oden
Odonata	Trollsländor
Odysseus	Odysseus
Odyssey	Odysséen
Oedipus	Oidipus
Offside (football)	Offside (fotboll)
Ohio	Ohio
Ohio	Kategori:Ohio
Ohm	Ohm
Ohm's law	Ohms lag
Oil	Olja
Oil (disambiguation)	Olja
Oil painting	Oljemåleri
Okapi	Okapi
Oklahoma	Oklahoma
Oklahoma	Kategori:Oklahoma
Oklahoma City	Oklahoma City
Oktoberfest	Oktoberfest
Old Church Slavonic	Fornkyrkoslaviska
Old Norse	Fornnordiska
Old Testament	Gamla testamentet
Oligarchy	Oligarki
Oligocene	Oligocen
Oligopoly	Oligopol
Olive	Olivträd
Olive oil	Olivolja
Oliver Cromwell	Oliver Cromwell
Oliver Stone	Oliver Stone
Olivine	Olivin
Olympia	Olympia, Washington
Olympia	Olympia
Olympic Games	Olympiska spelen
Olympics	Kategori:Olympiska spelen
Omaha	Omaha, Nebraska
Oman	Oman
Oman	Kategori:Oman
Omega	Omega
Omicron	Omikron
Omsk	Omsk
Oncology	Kategori:Onkologi
Onion	Lök (art)
Onomastics	Onomastik
Ontario	Ontario
Ontario	Kategori:Ontario
Ontology	Ontologi
Oort cloud	Oorts kometmoln
Opal	Opal
Opel	Opel
Opera	Opera
Opera (Internet suite)	Opera (webbläsare)
Operating system	Operativsystem
Operetta	Operett
Ophiuchus	Ormbäraren
Opium	Opium
Optical fiber	Fiberoptik
Optical illusion	Optisk illusion
Optics	Optik
Optics	Kategori:Optik
Optimization (mathematics)	Optimeringslära
Oral sex	Oralsex
Orange (colour)	Orange
Orange (fruit)	Apelsin
Orangutan	Orangutang
Oratorio	Oratorium
Orbit	Omloppsbana
Orca	Späckhuggare
Orchestra	Orkester
Orchidaceae	Orkidéer
Order (biology)	Ordning (biologi)
Order of Saint Benedict	Benediktinorden
Ordovician	Ordovicium
Oregano	Oregano
Oregon	Oregon
Oregon	Kategori:Oregon
Orestes (mythology)	Orestes
Organ (anatomy)	Organ
Organelle	Organell
Organic chemistry	Organisk kemi
Organic chemistry	Kategori:Organisk kemi
Organic compound	Organisk förening
Organism	Organism
Organization	Organisation
Organization of American States	Organization of American States
Orgasm	Orgasm
Origami	Origami
Origen	Origenes
Original sin	Arvsynd
Orinoco	Orinoco
Orion (constellation)	Orion (stjärnbild)
Orissa	Orissa
Orlando	Orlando, Florida
Ornithology	Ornitologi
Ornithology	Kategori:Ornitologi
Orpheus	Orfeus
Orson Welles	Orson Welles
Orthography	Ortografi
Osaka	Osaka
Osama bin Laden	Usama bin Ladin
Oscar Wilde	Oscar Wilde
Oscillation	Oscillation
Osiris	Osiris
Oslo	Oslo
Osman I	Osman I
Osmium	Osmium
Osprey	Fiskgjuse
Osteichthyes	Benfiskar
Osteoporosis	Benskörhet
Ostrava	Ostrava
Ostrich	Struts
Othello	Othello
Otho	Otho
Ottawa	Ottawa
Otto Hahn	Otto Hahn
Otto I	Otto I (tysk-romersk kejsare)
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Osmanska riket
Ottoman Empire	Kategori:Osmanska riket
Ounce	Uns
Ovary	Äggstock
Ovid	Ovidius
