Swedish	English
Portal:Litteratur	Literature
Litium	Lithium
Litografi	Lithography
Litosfär	Lithosphere
Litauen	Lithuania
Kategori:Litauen	Lithuania
Liter	Litre
Minervauggla	Little Owl
Liverpool	Liverpool
Livland	Livonia
Titus Livius	Livy
Ödlor	Lizard
Ljubljana	Ljubljana
Lama	Llama
Lånord	Loanword
Local Area Network	Local area network
Loch Ness	Loch Ness
Loch Ness-odjuret	Loch Ness Monster
Lok	Locomotive
Logaritm	Logarithm
Logik	Logic
Kategori:Logik	Logic
Logisk grind	Logic gate
Logistik	Logistics
Logotyp	Logo
Loire (departement)	Loire
Loire	Loire River
Loke	Loki
Lolita (roman)	Lolita
Lombardiet	Lombardy
London	London
Kategori:London	London
Long Beach, Kalifornien	Long Beach
Long Island	Long Island
Längdhopp	Long jump
Hornuggla	Long-eared Owl
Lope de Vega	Lope de Vega
Herrens bön	Lord's Prayer
Lorraine	Lorraine (region)
Los Angeles	Los Angeles
Lot (departement)	Lot (department)
Högtalare	Loudspeaker
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Ludvig den fromme	Louis the Pious
Ludvig den stammande	Louis the Stammerer
Louisiana	Louisiana
Kategori:Louisiana	Louisiana
Louisville	Louisville
Louvren	Louvre
Kärlek	Love
Lågtyska	Low German
Niedersachsen	Lower Saxony
Luanda	Luanda
Lublin	Lublin
Luzern	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucifer	Lucifer
Lucretius	Lucretius
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Tysklands flygvapen	Luftwaffe
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumen	Lumen (unit)
Luminiscens	Luminescence
Månförmörkelse	Lunar eclipse
Lund	Lund
Lunga	Lung
Lungcancer	Lung cancer
Lungfiskar	Lungfish
Vargen (stjärnbild)	Lupus (constellation)
Lusaka	Lusaka
Luta	Lute
Lutetium	Lutetium
Lutheraner	Lutheranism
Lux	Lux
Luxemburg	Luxembourg
Kategori:Luxemburg	Luxembourg
Luxemburg (stad)	Luxembourg (city)
Luxor	Luxor
Luzon	Luzon
Litchi	Lychee
Lydien	Lydia
Lymfatiska systemet	Lymphatic system
Lodjuret	Lynx (constellation)
Lynx (webbläsare)	Lynx (web browser)
Lyon	Lyon
Lyran (stjärnbild)	Lyra
LSD	Lysergic acid diethylamide
Lysin	Lysine
Lysosom	Lysosome
M	M
M-teori	M-theory
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Macao	Macau
Macbeth (pjäs)	Macbeth
Makedonien (olika betydelser)	Macedonia
Makedonien (region i Grekland)	Macedonia (Greece)
Mach	Mach number
Maskin	Machine
Maskinkod	Machine code
Kulspruta	Machine gun
Maskinöversättning	Machine translation
Machu Picchu	Machu Picchu
Macintosh	Macintosh
Makroekonomi	Macroeconomics
Kategori:Makroekonomi	Macroeconomics
Madagaskar	Madagascar
Kategori:Madagaskar	Madagascar
Madeira	Madeira
Madison, Wisconsin	Madison
Madonna (artist)	Madonna (entertainer)
Madrid	Madrid
Madrid (autonom region)	Madrid (autonomous community)
Maffia	Mafia
Tidskrift	Magazine
Magenta	Magenta
Maghreb	Maghreb
Magi	Magic (paranormal)
Magisk kvadrat	Magic square
Maginotlinjen	Maginot Line
Magma	Magma
Magna Charta	Magna Carta
Magnesium	Magnesium
Magnet	Magnet
Magnetfält	Magnetic field
Magnetisk resonanstomografi	Magnetic resonance imaging
Magnetism	Magnetism
Kategori:Magnetism	Magnetism
Magnetit	Magnetite
Förstoringsglas	Magnifying glass
Kategori:Eudicotyledonae	Magnoliopsida
Maharashtra	Maharashtra
Mahatma Gandhi	Mahatma Gandhi
Mahayana	Mahayana
Post	Mail
Maimonides	Maimonides
Main	Main
Mall:Huvudartikel	Main
Maine	Maine
Kategori:Maine	Maine
Stordator	Mainframe computer
Maitreya	Maitreya
Majs	Maize
Major	Major
Dur	Major scale
Mallorca	Majorca
Makalu	Makalu
Malabo	Malabo
Malakit	Malachite
Storkräftor	Malacostraca
Malaria	Malaria
Kategori:Malawi	Malawi
Malackahalvön	Malay Peninsula
Schabraktapir	Malayan Tapir
Malaysia	Malaysia
Kategori:Malaysia	Malaysia
Malcolm X	Malcolm X
Maldiverna	Maldives
Kategori:Maldiverna	Maldives
Mali	Mali
Kategori:Mali	Mali
Gräsand	Mallard
Malta	Malta
Kategori:Malta	Malta
Maltesiska	Maltese language
Maltos	Maltose
Malvaväxter	Malvaceae
Däggdjur	Mammal
Mammutar	Mammoth
Ledarskap	Management
Managua	Managua
Manama	Manama
Manater	Manatee
Manchester	Manchester
Manchuriet	Manchuria
Mandala	Mandala
Mandarin (språk)	Mandarin (linguistics)
Mandarin (frukt)	Mandarin orange
Mandelbrotmängden	Mandelbrot set
Mangan	Manganese
Mangosläktet	Mango
Mangrove	Mangrove
Manhattan	Manhattan
Manhattanprojektet	Manhattan Project
Manikeism	Manichaeism
Manila	Manila
Manipur	Manipur
Manitoba	Manitoba
Manierism	Mannerism
Mannheim	Mannheim
Manteln	Mantle (geology)
Mantra	Mantra
Mantua	Mantua
Manuel de Falla	Manuel de Falla
Handskrift	Manuscript
Mao Zedong	Mao Zedong
Maoism	Maoism
Karta	Map
Lönnsläktet	Maple
Maputo	Maputo
Maraton	Marathon
Marmor	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
Mars	March
17 mars	March 17
19 mars	March 19
2 mars	March 2
25 mars	March 25
Marche	Marche
Marco Polo	Marco Polo
Marcus Aurelius	Marcus Aurelius
Marcus Junius Brutus	Marcus Junius Brutus
Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa
Marduk	Marduk
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marianerna	Mariana Islands
Marie Antoinette	Marie Antoinette
Marie Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Marcus Antonius	Mark Antony
Mark Twain	Mark Twain
Marknad	Market
Marknadsföring	Marketing
Kategori:Marknadsföring	Marketing
Märkspråk	Markup language
Marlene Dietrich	Marlene Dietrich
Markis de Sade	Marquis de Sade
Marrakech	Marrakech
Äktenskap	Marriage
Kategori:Mars	Mars
Mars (olika betydelser)	Mars (disambiguation)
Mars (mytologi)	Mars (mythology)
Marseille	Marseille
Marshallöarna	Marshall Islands
Kategori:Marshallöarna	Marshall Islands
Marshallplanen	Marshall Plan
Pungdjur	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navratilova	Martina Navratilova
Martinique	Martinique
Martyr	Martyr
Bröderna Marx	Marx Brothers
Marxism	Marxism
Kategori:Marxism	Marxism
Jungfru Maria	Mary (mother of Jesus)
Maria från Magdala	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Maryland	Maryland
Kategori:Maryland	Maryland
Maseru	Maseru
Mashhad	Mashhad
Massa	Mass
Mässa	Mass (liturgy)
Masstal	Mass number
Massachusetts	Massachusetts
Kategori:Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Onani	Masturbation
Mata Hari	Mata Hari
Tändsticka	Match
Materialism	Materialism
Matematisk logik	Mathematical logic
Kategori:Matematisk logik	Mathematical logic
Bevis	Mathematical proof
Matematik	Mathematics
Kategori:Matematik	Mathematics
Matris (matematik)	Matrix (mathematics)
Materia	Matter
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Skärtorsdagen	Maundy Thursday
Maurice Ravel	Maurice Ravel
Mauretanien	Mauritania
Kategori:Mauretanien	Mauritania
Mauritius	Mauritius
Kategori:Mauritius	Mauritius
Max Born (fysiker)	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maximianus	Maximian
Maxwells ekvationer	Maxwell's equations
Maj	May
1 maj	May 1
24 maj	May 24
Mayenne	Mayenne
Dagsländor	Mayfly
Majonnäs	Mayonnaise
Borgmästare	Mayor
Mbabane	Mbabane
McCarthyism	McCarthyism
Mjöd	Mead
Mässling	Measles
Mått (matematik)	Measure (mathematics)
Kategori:Mätteknik	Measurement
Mätning	Measurement
Kött	Meat
Mekka	Mecca
Maskinteknik	Mechanical engineering
Kategori:Maskinteknik	Mechanical engineering
Kategori:Mekanik	Mechanics
Medea	Medea
Median	Median
Läkemedel	Medication
Medici	Medici
Medicinsk vetenskap	Medicine
Kategori:Medicin	Medicine
Medina	Medina
Meditation	Meditation
Kategori:Medelhavet	Mediterranean
Medelhavet	Mediterranean Sea
Medusa	Medusa
Surikat	Meerkat
Meios	Meiosis
Johannes Eckhart	Meister Eckhart
Meitnerium	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanesien	Melanesia
Melodi	Melody
Melpomene	Melpomene
Smältning	Melting
Smältpunkt	Melting point
Mem	Meme
Minne	Memory
Memphis, Tennessee	Memphis
Memfis	Memphis
Menachem Begin	Menachem Begin
Mendelevium	Mendelevium
Menelaos	Menelaus
Hjärnhinneinflammation	Meningitis
Taffelberget (stjärnbild)	Mensa (constellation)
Menstruation	Menstrual cycle
Psykisk störning	Mental disorder
Myntor	Mentha
Merkantilism	Mercantilism
Legosoldat	Mercenary
Mercury	Mercury
Kvicksilver	Mercury (element)
Mercurius	Mercury (mythology)
Merkurius	Mercury (planet)
Meridian	Meridian (geography)
Meritokrati	Meritocracy
Sjöjungfru	Mermaid
Merovinger	Merovingian
Meryl Streep	Meryl Streep
Meskalin	Mescaline
Mesolitikum	Mesolithic
Meson	Meson
Mesopotamien	Mesopotamia
Kategori:Mesopotamien	Mesopotamia
Mesosfär	Mesosphere
Mesozoikum	Mesozoic
Budbärar-RNA	Messenger RNA
Messias	Messiah
Messina	Messina
Metabolism	Metabolism
Metadata	Metadata
Metall	Metal
Metallbindning	Metallic bond
Metalloid	Metalloid
Metallurgi	Metallurgy
Kategori:Metallurgi	Metallurgy
Metamorf bergart	Metamorphic rock
Metafor	Metaphor
Metafysik	Metaphysics
Kategori:Metafysik	Metaphysics
Metastas	Metastasis
Meteorregn	Meteor shower
Meteorit	Meteorite
Meteoroid	Meteoroid
Kategori:Meteorologi	Meteorology
Meteorologi	Meteorology
Metadon	Methadone
Metamfetamin	Methamphetamine
Metanol	Methanol
Metionin	Methionine
Metodism	Methodism
Ecstasy	Methylenedioxymethamphetamine
Metis (måne)	Metis (moon)
Metonym	Metonymy
Meter	Metre
Metriskt rum	Metric space
Meuse	Meuse
Meuse (flod)	Meuse River
Mexiko	Mexico
Kategori:Mexiko	Mexico
Mexico City	Mexico City
Miami	Miami
Glimmer	Mica
Mikael (ärkeängel)	Michael (archangel)
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo Buonarroti	Michelangelo
Michigan	Michigan
Kategori:Michigan	Michigan
Mick Jagger	Mick Jagger
Musse Pigg	Mickey Mouse
Mikrobiologi	Microbiology
Kategori:Mikrobiologi	Microbiology
Mikroekonomi	Microeconomics
Kategori:Mikroekonomi	Microeconomics
Mikronesien	Micronesia
Mikroorganism	Microorganism
Mikrofon	Microphone
Mikroprocessor	Microprocessor
Mikroskop	Microscope
Mikroskopet	Microscopium
Mikrovågor	Microwave
Mikrovågsugn	Microwave oven
Medeltiden	Middle Ages
Kategori:Medeltiden	Middle Ages
Mellanöstern	Middle East
Kategori:Mellanöstern	Middle East
Midnattssol	Midnight sun
Migrän	Migraine
Miguel Cervantes	Miguel de Cervantes
Mike Tyson	Mike Tyson
Michail Bakunin	Mikhail Bakunin
Michail Glinka	Mikhail Glinka
Michail Gorbatjov	Mikhail Gorbachev
Milano	Milan
Engelsk mil	Mile
Miles Davis	Miles Davis
Mjölk	Milk
Vintergatan	Milky Way
Millard Fillmore	Millard Fillmore
Millennium	Millennium
Miljon	Million
Dubbelfotingar	Millipede
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minaret	Minaret
Mindanao	Mindanao
Mineral	Mineral
Mineralvatten	Mineral water
Mineralogi	Mineralogy
Kategori:Mineralogi	Mineralogy
Minerva	Minerva
Mingdynastin	Ming Dynasty
Minimalism	Minimalism
Gruvdrift	Mining
Statsråd	Minister (government)
Minneapolis	Minneapolis
Minnesota	Minnesota
Kategori:Minnesota	Minnesota
Minoer	Minoan civilization
Moll	Minor scale
Minos	Minos
Minotauros	Minotaur
Minsk	Minsk
Minut	Minute
Miocen	Miocene
Mirakel	Miracle
Spegel	Mirror
Mishna	Mishnah
Kategori:Mississippi	Mississippi
Mississippifloden	Mississippi River
Missouri	Missouri
Kategori:Missouri	Missouri
Missourifloden	Missouri River
Mitokondrie	Mitochondrion
Mnemosyne	Mnemosyne
Mobiltelefoni	Mobile phone
Modem	Modem
Modernism	Modernism
Modest Musorgskij	Modest Mussorgsky
Modulation	Modulation
Mogadishu	Mogadishu
Moirerna	Moirae
Mögel	Mold
Moldavien	Moldova
Kategori:Moldavien	Moldova
Mol	Mole (unit)
Molekylärbiologi	Molecular biology
Kategori:Molekylärbiologi	Molecular biology
Molekyl	Molecule
Molise	Molise
Blötdjur	Mollusca
Molotovcocktail	Molotov cocktail
Molybden	Molybdenum
Mombasa	Mombasa
Rörelsemängd	Momentum
Monaco	Monaco
Kategori:Monaco	Monaco
Monark	Monarch
Monarki	Monarchy
Kategori:Monarki	Monarchy
Kloster	Monastery
Måndag	Monday
Pengar	Money
Mongoliet	Mongolia
Kategori:Mongoliet	Mongolia
Manguster	Mongoose
Monica Seles	Monica Seles
Monism	Monism
Enhjärtbladiga växter	Monocotyledon
Monomer	Monomer
Monopol	Monopoly
Monopol (spel)	Monopoly (game)
Monosackarid	Monosaccharide
Natriumglutamat	Monosodium glutamate
Monoteism	Monotheism
Kloakdjur	Monotreme
Monroedoktrinen	Monroe Doctrine
Monrovia	Monrovia
Mons	Mons
Monsun	Monsoon
Mont Blanc	Mont Blanc
Montana	Montana
Kategori:Montana	Montana
Monte Carlo	Monte Carlo
Montenegro	Montenegro
Kategori:Montenegro	Montenegro
Monterrey	Monterrey
Montevideo	Montevideo
Montgomery, Alabama	Montgomery
Månad	Month
Montpelier, Vermont	Montpelier
Montréal	Montreal
Montserrat	Montserrat
Månen	Moon
Älg	Moose
Moral	Morality
Mähren	Moravia
Marocko	Morocco
Kategori:Marocko	Morocco
Morfem	Morpheme
Morfin	Morphine
Morfologi	Morphology
Morfologi (lingvistik)	Morphology (linguistics)
Morsealfabetet	Morse code
Granatkastare	Mortar (weapon)
Mosaik	Mosaic
Moskva	Moscow
Kategori:Moskva	Moscow
Moselle	Moselle
Mose	Moses
Moshe Dayan	Moshe Dayan
Moské	Mosque
Bladmossor	Moss
Mossad	Mossad
Mosul	Mosul
Motett	Motet
Moder	Mother
Moder Teresa	Mother Teresa
Mors dag	Mother's Day
Rörelse (fysik)	Motion (physics)
Motorcykel	Motorcycle
Valspråk	Motto
Ararat	Mount Ararat
Athos	Mount Athos
Etna	Mount Etna
Mount Everest	Mount Everest
Fuji	Mount Fuji
Kilimanjaro	Mount Kilimanjaro
Mount McKinley	Mount McKinley
Olympen	Mount Olympus
Pinatubo	Mount Pinatubo
Mount Rushmore National Memorial	Mount Rushmore
Mount Saint Helens	Mount St. Helens
Vesuvius	Mount Vesuvius
Berg	Mountain
Mountainbike	Mountain bike
Bergskedja	Mountain range
Möss	Mouse
Datormus	Mouse (computing)
Moçambique	Mozambique
Kategori:Moçambique	Mozambique
My	Mu (letter)
Muezzin	Muezzin
Muhammed	Muhammad
Muhammad Ali	Muhammad Ali
Mullbärssläktet	Mulberry
Mula	Mule
Multimedier	Multimedia
Multipel skleros	Multiple sclerosis
Multiplikation	Multiplication
Bombay	Mumbai
Mumie	Mummy
München	Munich
Kommun	Municipality
Myon	Muon
Murmansk	Murmansk
Murphys lag	Murphy's law
Murray Gell-Mann	Murray Gell-Mann
Bananer	Musa (genus)
Flugan (stjärnbild)	Musca
Muskat	Muscat
Muskel	Muscle
Muserna	Muse
Museum	Museum
Svampar	Mushroom
Musik	Music
Kategori:Musik	Music
MIDI	Musical Instrument Digital Interface
Musikinstrument	Musical instrument
Skala (musik)	Musical scale
Musiker	Musician
Musikvetenskap	Musicology
Musköt	Musket
Mårddjur	Mustelidae
Mutation	Mutation
Knölsvan	Mute Swan
Kategori:Burma	Myanmar
Mykene	Mycenae
Mykologi	Mycology
Hjärtinfarkt	Myocardial infarction
Närsynthet	Myopia
Mångfotingar	Myriapoda
Mystik	Mysticism
Myt	Myth
Mytologi	Mythology
Kategori:Mytologi	Mythology
N	N
N'Djamena	N'Djamena
NASDAQ	NASDAQ
Nato	NATO
Kategori:NATO	NATO
Nadine Gordimer	Nadine Gordimer
Nagasaki	Nagasaki
Nagoya	Nagoya
Nahuatl	Nahuatl
Naglar	Nail (anatomy)
Spik	Nail (fastener)
Nairobi	Nairobi
Namiböknen	Namib Desert
Namibia	Namibia
Kategori:Namibia	Namibia
Namur	Namur (city)
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanjing	Nanjing
Nanoteknik	Nanotechnology
Nantes	Nantes
Napalm	Napalm
Neapel	Naples
Napoleonkrigen	Napoleonic Wars
Narkissos	Narcissus (mythology)
Nashville	Nashville
Nassau, Bahamas	Nassau
Nathaniel Hawthorne	Nathaniel Hawthorne
Nation	Nation
National Security Agency	National Security Agency
Nationalsång	National anthem
Nationalpark	National park
Nationalism	Nationalism
Kategori:Nationalism	Nationalism
Naturgas	Natural gas
Naturliga tal	Natural number
Naturvetenskap	Natural science
Naturligt urval	Natural selection
Natur	Nature
Kategori:Natur	Nature
Naturism	Naturism
Nauru	Nauru
Kategori:Nauru	Nauru
Nautisk mil	Nautical mile
Kategori:Navigation	Navigation
Navigation	Navigation
Nasaret	Nazareth
Nazityskland	Nazi Germany
Kategori:Nazityskland	Nazi Germany
Nationalsocialistiska tyska arbetarepartiet	Nazi Party
Kategori:Nazism	Nazism
Neandertalmänniska	Neanderthal
Nebraska	Nebraska
Kategori:Nebraska	Nebraska
Nebukadnessar II	Nebuchadrezzar II
Nebulosa	Nebula
Neckar	Neckar
Slips	Necktie
Nefertiti	Nefertiti
Negev	Negev
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Rundmaskar	Nematode
Nemeiska lejonet	Nemean Lion
Nemesis	Nemesis (mythology)
Neodym	Neodymium
Neolitikum	Neolithic
Neologism	Neologism
Neon	Neon
Nyplatonism	Neoplatonism
Nepal	Nepal
Kategori:Nepal	Nepal
Neftys	Nephthys
Neptunus	Neptune
Neptunium	Neptunium
Nereid	Nereid (moon)
Nero	Nero
Nerva	Nerva
Nervsystemet	Nervous system
Kategori:Nervsystemet	Nervous system
Rede	Nest
Nestorianism	Nestorianism
Nederländerna	Netherlands
Kategori:Nederländerna	Netherlands
Nederländska Antillerna	Netherlands Antilles
Neurologi	Neurology
Kategori:Neurologi	Neurology
Nervcell	Neuron
Signalsubstans	Neurotransmitter
Neutrino	Neutrino
Neutron	Neutron
Neutronstjärna	Neutron star
Neva	Neva River
Nevada	Nevada
Kategori:Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
New Brunswick	New Brunswick
Nya Kaledonien	New Caledonia
New Delhi	New Delhi
New England	New England
Nya Guinea	New Guinea
New Hampshire	New Hampshire
Kategori:New Hampshire	New Hampshire
New Jersey	New Jersey
Kategori:New Jersey	New Jersey
New Mexico	New Mexico
Kategori:New Mexico	New Mexico
New Orleans	New Orleans
New South Wales	New South Wales
Nya testamentet	New Testament
Nya världen	New World
Nyår	New Year
New York (delstat)	New York
Kategori:New York	New York
New York (olika betydelser)	New York (disambiguation)
New York	New York City
Kategori:New York City	New York City
New York Stock Exchange	New York Stock Exchange
Nya Zeeland	New Zealand
Kategori:Nya Zeeland	New Zealand
Newark, New Jersey	Newark
Newfoundland	Newfoundland (island)
Newfoundland och Labrador	Newfoundland and Labrador
Newport	Newport
Newton (enhet)	Newton
Niacin	Niacin
Niagarafallen	Niagara Falls
Niamey	Niamey
Nicaragua	Nicaragua
Kategori:Nicaragua	Nicaragua
Nice	Nice
Nicaenska trosbekännelsen	Nicene Creed
Huset Petrović Njegoš	Nicholas
Nickel	Nickel
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolaus Copernicus
Nicosia	Nicosia
Nikotin	Nicotine
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Kategori:Niger	Niger
Niger (flod)	Niger River
Nigeria	Nigeria
Kategori:Nigeria	Nigeria
Natt	Night
Sydnäktergal	Nightingale
Nihilism	Nihilism
Nijmegen	Nijmegen
Nike (företag)	Nike
Nike (mytologi)	Nike (mythology)
Nikita Chrusjtjov	Nikita Khrushchev
Nikola Tesla	Nikola Tesla
Nilen	Nile
Nilkrokodil	Nile crocodile
Nineve	Nineveh
Ninja	Ninja
Niob	Niobium
Nirvana	Nirvana
Salpetersyra	Nitric acid
Kväve	Nitrogen
Nitroglycerin	Nitroglycerin
Nix (måne)	Nix (moon)
Njord	Njord
Noa	Noah
Noam Chomsky	Noam Chomsky
Nobelpriset	Nobel Prize
Kategori:Nobelpriset	Nobel Prize
Nobelium	Nobelium
Adel	Nobility
Kategori:Adel	Nobility
Ädelgas	Noble gas
Nomader	Nomad
Nominativ	Nominative case
Icke-metall	Nonmetal
Norfolk, England	Norfolk
Norfolkön	Norfolk Island
Vinkelhaken	Norma (constellation)
Normalfördelning	Normal distribution
Norman Mailer	Norman Mailer
Normandie	Normandy
Nornor	Norn
Nordisk mytologi	Norse mythology
Kategori:Nordisk mytologi	Norse mythology
Norr	North
Nordafrika	North Africa
Nordamerika	North America
Kategori:Nordamerika	North America
North Carolina	North Carolina
Kategori:North Carolina	North Carolina
North Dakota	North Dakota
Kategori:North Dakota	North Dakota
Nordön	North Island
Nordkorea	North Korea
Kategori:Nordkorea	North Korea
Nordpolen	North Pole
Nordsjön	North Sea
North Yorkshire	North Yorkshire
Nordeuropa	Northern Europe
Norra halvklotet	Northern Hemisphere
Nordirland	Northern Ireland
Kategori:Nordirland	Northern Ireland
Nordmarianerna	Northern Mariana Islands
Northern Territory	Northern Territory
Gädda	Northern pike
Northwest Territories	Northwest Territories
Norge	Norway
Kategori:Norge	Norway
Norska havet	Norwegian Sea
Norsk krona	Norwegian krone
Näsa	Nose
Nostradamus	Nostradamus
Notskrift	Note
Nouakchott	Nouakchott
Substantiv	Noun
Nova Scotia	Nova Scotia
Novaja Zemlja	Novaya Zemlya
Roman	Novel
November	November
1 november	November 1
11 november	November 11
2 november	November 2
5 november	November 5
Novosibirsk	Novosibirsk
Ny	Nu (letter)
Fission	Nuclear fission
Fusion	Nuclear fusion
Kärnfysik	Nuclear physics
Kärnkraft	Nuclear power
Kärnvapen	Nuclear weapon
Nukleinsyra	Nucleic acid
Nukleon	Nucleon
Nukleotid	Nucleotide
Tal (matematik)	Number
Kategori:Tal	Numbers
Numidien	Numidia
Numismatik	Numismatics
Kategori:Numismatik	Numismatics
Nunavut	Nunavut
Nürnberg	Nuremberg
Nöt	Nut (fruit)
Muskot	Nutmeg
Kategori:Näringslära	Nutrition
Nymf	Nymph
Näckrosväxter	Nymphaeaceae
Nyx	Nyx (mythology)
O	O
OPEC	OPEC
Oahu	Oahu
Eksläktet	Oak
Oakland, Kalifornien	Oakland
Oas	Oasis
Havre	Oat
Oaxaca	Oaxaca
Ob	Ob River
Obelisk	Obelisk
Övervikt	Obesity
Objektorienterad programmering	Object-oriented programming
Oboe	Oboe
Observatorium	Observatory
Obsidian	Obsidian
Ockhams rakkniv	Occam's razor
Hav#V.C3.A4rldshav	Ocean
Havsström	Ocean current
Oceanien	Oceania
Kategori:Oceanien	Oceania
Okeanider	Oceanid
Oceanografi	Oceanography
Kategori:Oceanografi	Oceanography
Okeanos	Oceanus
Oktala talsystemet	Octal
Oktanten	Octans
Oktav	Octave
Oktober	October
12 oktober	October 12
24 oktober	October 24
Oktoberrevolutionen	October Revolution
Åttaarmade bläckfiskar	Octopus
Ode	Ode
Oder	Oder River
Odessa	Odessa
Oden	Odin
Trollsländor	Odonata
Odysseus	Odysseus
Odysséen	Odyssey
Oidipus	Oedipus
Offside (fotboll)	Offside (football)
Ohio	Ohio
Kategori:Ohio	Ohio
Ohm	Ohm
Ohms lag	Ohm's law
Olja	Oil
Olja	Oil (disambiguation)
Oljemåleri	Oil painting
Okapi	Okapi
Oklahoma	Oklahoma
Kategori:Oklahoma	Oklahoma
Oklahoma City	Oklahoma City
Oktoberfest	Oktoberfest
Fornkyrkoslaviska	Old Church Slavonic
Fornnordiska	Old Norse
Gamla testamentet	Old Testament
Oligarki	Oligarchy
Oligocen	Oligocene
Oligopol	Oligopoly
Olivträd	Olive
Olivolja	Olive oil
Oliver Cromwell	Oliver Cromwell
Oliver Stone	Oliver Stone
Olivin	Olivine
Olympia, Washington	Olympia
Olympia	Olympia
Olympiska spelen	Olympic Games
Kategori:Olympiska spelen	Olympics
Omaha, Nebraska	Omaha
Oman	Oman
Kategori:Oman	Oman
Omega	Omega
Omikron	Omicron
Omsk	Omsk
Kategori:Onkologi	Oncology
Lök (art)	Onion
Onomastik	Onomastics
Ontario	Ontario
Kategori:Ontario	Ontario
Ontologi	Ontology
Oorts kometmoln	Oort cloud
Opal	Opal
Opel	Opel
Opera	Opera
Opera (webbläsare)	Opera (Internet suite)
Operativsystem	Operating system
Operett	Operetta
Ormbäraren	Ophiuchus
Opium	Opium
Fiberoptik	Optical fiber
Optisk illusion	Optical illusion
Optik	Optics
Kategori:Optik	Optics
Optimeringslära	Optimization (mathematics)
Oralsex	Oral sex
Orange	Orange (colour)
Apelsin	Orange (fruit)
Orangutang	Orangutan
Oratorium	Oratorio
Omloppsbana	Orbit
Späckhuggare	Orca
Orkester	Orchestra
Orkidéer	Orchidaceae
Ordning (biologi)	Order (biology)
Benediktinorden	Order of Saint Benedict
Ordovicium	Ordovician
Oregano	Oregano
Oregon	Oregon
Kategori:Oregon	Oregon
Orestes	Orestes (mythology)
Organ	Organ (anatomy)
Organell	Organelle
Organisk kemi	Organic chemistry
Kategori:Organisk kemi	Organic chemistry
Organisk förening	Organic compound
Organism	Organism
Organisation	Organization
Organization of American States	Organization of American States
Orgasm	Orgasm
Origami	Origami
Origenes	Origen
Arvsynd	Original sin
Orinoco	Orinoco
Orion (stjärnbild)	Orion (constellation)
Orissa	Orissa
Orlando, Florida	Orlando
Ornitologi	Ornithology
Kategori:Ornitologi	Ornithology
Orfeus	Orpheus
Orson Welles	Orson Welles
Ortografi	Orthography
Osaka	Osaka
Usama bin Ladin	Osama bin Laden
Oscar Wilde	Oscar Wilde
Oscillation	Oscillation
Osiris	Osiris
Oslo	Oslo
Osman I	Osman I
Osmium	Osmium
Fiskgjuse	Osprey
Benfiskar	Osteichthyes
Benskörhet	Osteoporosis
Ostrava	Ostrava
Struts	Ostrich
Othello	Othello
Otho	Otho
Ottawa	Ottawa
Otto Hahn	Otto Hahn
Otto I (tysk-romersk kejsare)	Otto I
Otto von Bismarck	Otto von Bismarck
Osmanska riket	Ottoman Empire
Kategori:Osmanska riket	Ottoman Empire
Uns	Ounce
Äggstock	Ovary
Ovidius	Ovid
