English	Ukrainian
Bus (computing)	Шина (ел.)
Business	Бізнес
Businesspeople	Категорія:Підприємці
Butane	Бутан (сполука)
Butter	Масло
Butterfly effect	Ефект метелика (математика)
Bydgoszcz	Бидгощ
Byte	Байт
Byzantine Empire	Категорія:Візантійська імперія
C	C (латиниця)
C (programming language)	С (мова програмування)
C. S. Lewis	Клайв Стейплз Льюїс
COBOL	COBOL
Cabaret	Кабаре
Cacao	Какао
Cache	Кеш
Cactus	Кактусові
Cadmium	Кадмій
Cadmus	Кадм
Caelum	Різець (сузір'я)
Caesium	Цезій
Caffeine	Кофеїн
Cairo	Каїр
Cake	Торт
Calabria	Калабрія
Calcite	Кальцит
Calcium	Кальцій
Calcium carbonate	Карбонат кальцію
Calcium oxide	Оксид кальцію
Calculator	Калькулятор
Calculus	Математичний аналіз
Caldera	Кальдера
Calendar	Календар
Caliber	Калібр
California	Каліфорнія
California	Категорія:Каліфорнія
Californium	Каліфорній
Caligula	Калігула
Calligraphy	Каліграфія
Calliope	Калліопа
Calorie	Калорія
Calvados	Кальвадос (департамент)
Calvary	Голгофа
Calvin Coolidge	Калвін Кулідж
Calvinism	Кальвіністська церква
Calypso (mythology)	Каліпсо (міфологія)
Cambodia	Камбоджа
Cambodia	Категорія:Камбоджа
Cambrian	Кембрійський період
Cambridge	Кембридж
Cambridge (disambiguation)	Кембридж (значення)
Camel	Верблюд
Camembert (cheese)	Камамбер
Camera	Фотокамера
Cameroon	Камерун
Cameroon	Категорія:Камерун
Campania	Кампанія
Canada	Канада
Canada	Категорія:Канада
Canal	Канал (гідротехніка)
Canary Islands	Канарські острови
Canberra	Канберра
Cancer	Рак (хвороба)
Cancer (constellation)	Рак (сузір'я)
Candela	Кандела
Candle	Свічка
Canidae	Собачі
Canis Major	Великий Пес (сузір'я)
Canis Minor	Малий Пес (сузір'я)
Cannabis	Коноплі (рослина)
Cannabis (drug)	Марихуана
Cannibalism	Канібалізм
Cannon	Гармата
Canoe	Каное
Canon (company)	Canon
Canopus	Канопус
Cantata	Кантата
Canute the Great	Канут Великий
Capacitance	Ємність (електрика)
Capacitor	Електричний конденсатор
Cape Canaveral	Канаверал (мис)
Cape Horn	Мис Горн
Cape Town	Кейптаун
Cape Verde	Кабо-Верде
Cape of Good Hope	Мис Доброї Надії
Capital	Столиця
Capital (economics)	Капітал
Capital punishment	Смертна кара
Capitalism	Капіталізм
Cappadocia	Каппадокія
Capricornus	Козеріг (сузір'я)
Caracas	Каракас
Carat (purity)	Карат
Caravaggio	Мікеланджело да Караваджо
Carbohydrate	Вуглеводи
Carbon	Вуглець
Carbon cycle	Вуглецевий цикл
Carbon dioxide	Діоксид вуглецю
Carbon monoxide	Монооксид вуглецю
Carbonic acid	Карбонатна кислота
Carboniferous	Кам'яновугільний період
Carboxylic acid	Карбонові кислоти
Cardamom	Кардамон
Cardiff	Кардіфф
Cardinal (Catholicism)	Кардинал
Cardinal Richelieu	Рішельє Арман Жан дю Плессі
Cardiology	Кардіологія
Cardiology	Категорія:Кардіологія
Cardiovascular system	Категорія:Серцево-судинна система
Caribbean Sea	Карибське море
Caricature	Карикатура
Carina (constellation)	Кіль (сузір'я)
Carl David Anderson	Андерсон Карл Девід
Carl Jung	Юнґ Карл Ґустав
Carl Maria von Weber	Вебер Карл Марія
Carnival	Карнавал
Carnivora	Ряд Хижі
Carnivorous plant	Рослини-хижаки
Carolingian dynasty	Каролінги
Carolus Linnaeus	Лінней Карл
Carpathian Mountains	Карпати
Carrot	Морква
Cartesian coordinate system	Декартова система координат
Cartesian product	Декартів добуток множин
Carthage	Карфаген
Cartography	Картографія
Cartography	Категорія:Картографія
Casablanca	Касабланка
Cashew	Кеш'ю
Casino	Казино (гральний дім)
Caspian Sea	Каспійське море
Cassiopeia (constellation)	Кассіопея (сузір'я)
Cast iron	Чавун
Caste	Каста
Castile (historical region)	Кастилія
Castle	Замок (споруда)
Castling	Рокіровка
Casus belli	Казус беллі
Cat	Кіт свійський
Catalonia	Каталонія
Catalonia	Категорія:Каталонія
Catalysis	Каталізатор
Cataphract	Катафрактарії
Cataract	Катаракта
Catherine of Aragon	Катерина Арагонська
Cathode	Катод
Catholicism	Католицизм
Cattle	Корова
Caucasus	Кавказ
Caucasus	Категорія:Кавказ
Caucasus Mountains	Кавказ
Cavalry	Кіннота
Cave	Печери
Caviar	Ікра
Cayman Islands	Кайманові острови
Cedar	Рід Кедр
Celery	Селера
Celestial equator	Небесний екватор
Celestial mechanics	Категорія:Небесна механіка
Celestial sphere	Небесна сфера
Celibacy	Целібат
Cell (biology)	Клітина
Cell nucleus	Клітинне ядро
Cell wall	Клітинна стінка
Cello	Віолончель
Cellulose	Целюлоза
Celsius	Градус Цельсія
Cement	Цемент (будівельний матеріал)
Cemetery	Цвинтар
Cenozoic	Кайнозойська ера
Census	Перепис населення
Centaur	Кентаври
Centaurus	Центавр (сузір'я)
Center of mass	Центр інерції
Centimetre	Сантиметр
Central Africa	Центральна Африка
Central African Republic	Центрально-Африканська Республіка
Central African Republic	Категорія:ЦАР
Central America	Центральна Америка
Central Intelligence Agency	Центральне розвідувальне управління
Central Park	Центральний парк (Нью-Йорк)
Central Powers	Центральні держави
Central bank	Центральний банк
Central nervous system	Центральна нервова система
Central processing unit	Центральний процесор
Centre	Центр (регіон Франції)
Century	Століття
Cephalopod	Головоногі
Cepheus (constellation)	Цефей (сузір'я)
Ceramic	Кераміка
Cerberus	Цербер
Cereal	Крупа
Ceres (dwarf planet)	Церера (карликова планета)
Ceres (mythology)	Керера
Cerium	Церій
Cestoda	Стрічковий хробак
Cetacea	Китоподібні
Cetus	Кит (сузір'я)
Chad	Чад
Chad	Категорія:Чад
Chair	Стілець
Chalcedony	Халцедон
Chamaeleon	Хамелеон (сузір'я)
Chamois	Скельниця
Champagne (wine)	Шампанське
Champagne-Ardenne	Шампань — Арденни
Channel Tunnel	Євротунель
Chaos (mythology)	Хаос (міфологія)
Charlemagne	Карл І Великий
Charles Baudelaire	Бодлер Шарль П'єр
Charles Darwin	Чарльз Роберт Дарвін
Charles Dickens	Діккенс Чарльз
Charles Fourier	Фур'є Шарль Франсуа Марі
Charles de Gaulle	Шарль де Голль
Charlie Chaplin	Чаплін Чарлі
Charlie Parker	Чарлі Паркер
Charlotte	Шарлот (Північна Кароліна)
Charon (moon)	Харон (супутник)
Charon (mythology)	Харон (міфологія)
Chauvinism	Шовінізм
Che Guevara	Ернесто Че Гевара
Chechnya	Чечня
Chechnya	Категорія:Чечня
Cheese	Сир
Cheetah	Гепард
Chelyabinsk	Челябінськ
Chemical bond	Хімічний зв'язок
Chemical compound	Хімічна сполука
Chemical element	Хімічні елементи
Chemical formula	Хімічна формула
Chemical reaction	Хімічна реакція
Chemical warfare	Хімічна зброя
Chemistry	Хімія
Chemistry	Категорія:Хімія
Chemistry	Портал:Хімія
Chemotherapy	Хіміотерапія
Chennai	Ченнаї
Cheque	Чек (цінний папір)
Chernobyl	Чорнобиль
Chert	Кремінь
Cherub	Херувим
Chess	Шахи
Chess	Категорія:Шахи
Chess opening	Дебют
Chester A. Arthur	Честер Алан Артур
Chestnut	Каштан
Chewing gum	Жуйка
Chi (letter)	Хі (літера)
Chicago	Чикаго
Chicken	Кури
Child	Дитина
Chile	Чилі
Chile	Категорія:Чилі
Chimborazo (volcano)	Чімборасо
Chimera (mythology)	Химера
China	Категорія:Китай
China	Китай (цивілізація)
Chiron	Хірон
Chitin	Хітин
Chlorine	Хлор
Chloroform	Хлороформ
Chlorophyll	Хлорофіл
Chloroplast	Хлоропласт
Chocolate	Шоколад
Choir	Хор (колектив)
Cholera	Холера
Cholesterol	Холестерин
Chondrichthyes	Хрящеві риби
Chongqing	Чунцін
Chord (music)	Акорд
Chordate	Хордові
Christiaan Huygens	Гюйгенс Хрістіан
Christianity	Християнство
Christianity	Категорія:Християнство
Christmas	Різдво
Christmas Eve	Святий Вечір
Christopher Columbus	Колумб Христофор
Christopher Marlowe	Крістофер Марлоу
Chromatin	Хроматин
Chromatography	Хроматографія
Chromium	Хром
Chromosome	Хромосома
Chronology	Категорія:Хронологія
Chuck Berry	Беррі Чак
Chukchi Sea	Чукотське море
Church	Костел
Church of England	Англіканська церква
Cicero	Ціцерон
Ciconiiformes	Лелекоподібні
Cider	Сидр
Cigarette	Сигарети
Cinnabar	Кіновар
Circe	Кірка
Circinus	Циркуль (сузір'я)
Circle	Коло
Circulatory system	Кровообіг
Circumcision	Обрізання
Citric acid	Лимонна кислота
Citric acid cycle	Цикл трикарбонових кислот
Citrus	Цитрус
City-state	Місто-держава
Civil war	Громадянська війна
Civilization	Цивілізація
Civilization (computer game)	Цивілізація (гра)
Clarinet	Кларнет
Class	Клас
Class (biology)	Клас (біологія)
Class (computer science)	Клас (програмування)
Classical mechanics	Класична механіка
Classical music	Класична музика
Classical music	Категорія:Класична музика
Classicism	Класицизм
Claude Monet	Моне Клод
Claude Shannon	Шеннон Клод
Claudio Monteverdi	Монтеверді Клаудіо
Clavicle	Ключиця
Clay	Глина
Clef	Ключ (музика)
Clement Attlee	Атлі Клемент Ричард
Clergy	Духовенство
Cleveland	Клівленд
Climate	Клімат
Climate	Категорія:Клімат
Climate change	Зміна клімату
Climatology	Категорія:Кліматологія
Clinical depression	Депресія (медицина)
Clio	Кліо
Clitoris	Клітор
Clock	Годинник
Clock Tower	Біг-Бен
Clothing	Категорія:Одяг
Clothing	Одяг
Cloud	Хмари
Clove	Гвоздика (пряність)
Clover	Конюшина
