Czech	English
Foton	Photon
Fotosféra	Photosphere
Fotosyntéza	Photosynthesis
Kmen (biologie)	Phylum
Fyzikální chemie	Physical chemistry
Kategorie:Fyzikální chemie	Physical chemistry
Fyzika	Physics
Kategorie:Fyzika	Physics
Portál:Fyzika	Physics
Fyziologie	Physiology
Kategorie:Fyziologie	Physiology
Číslo pí	Pi
Klavír	Piano
Pikardie	Picardie
Šplhavci	Piciformes
Souhvězdí Malíře	Pictor
Pidžin	Pidgin
Pidgin	Pidgin (software)
Piemont	Piedmont
Pierre (USA)	Pierre
Pierre Curie	Pierre Curie
Pierre de Fermat	Pierre de Fermat
Piet Mondrian	Piet Mondrian
Pieter Zeeman	Pieter Zeeman
Pigment	Pigment
Plzeň	Pilsen
Pindaros	Pindar
Borovice	Pine
Ananasovník chocholatý	Pineapple
Ping (počítačová síť)	Ping
Růžová	Pink
Ploutvonožci	Pinniped
Pirát	Piracy
Pisa	Pisa
Souhvězdí Ryb	Pisces (constellation)
Píst	Piston
Pittsburgh	Pittsburgh
Hypofýza	Pituitary gland
Pixel	Pixel
Pizza	Pizza
Plagiát	Plagiarism
Rovina	Plane (mathematics)
Planeta	Planet
Planetární mlhovina	Planetary nebula
Plankton	Plankton
Rostliny	Plant
Plazma (fyzika)	Plasma (physics)
Plazmid	Plasmid
Plast	Plastic
Plastid	Plastid
Desková tektonika	Plate tectonics
Krevní destička	Platelet
Platina	Platinum
Platón	Plato
Ptakopysk	Platypus
Playboy	Playboy
Hrací karta	Playing card
Plejády	Pleiades (star cluster)
Pleistocén	Pleistocene
Pleven	Pleven
Plinius starší	Pliny the Elder
Plinius mladší	Pliny the Younger
Pliocén	Pliocene
Plótínos	Plotinus
Plovdiv	Plovdiv
Švestka	Plum
Plútarchos	Plutarch
Pluto (plutoid)	Pluto
Pluto	Pluto (disambiguation)
Plutonium	Plutonium
Plymouth	Plymouth
Zápal plic	Pneumonia
Pád (řeka)	Po River
Lipnicovité	Poaceae
Podcasting	Podcast
Poezie	Poetry
Kategorie:Poezie	Poetry
Pogrom	Pogrom
Bod	Point (geometry)
Jed	Poison
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Polsko	Poland
Kategorie:Polsko	Poland
Medvěd lední	Polar bear
Polárka	Polaris
Policie	Police
Politická strana	Political party
Politologie	Political science
Kategorie:Politologie	Political science
Politika	Politics
Kategorie:Politika	Politics
Pyl	Pollen
Opylení	Pollination
Znečištění	Pollution
Pólo	Polo
Polonium	Polonium
Polyethylen	Polyethylene
Polygamie	Polygamy
Mnohoúhelník	Polygon
Mnohostěn	Polyhedron
Polyhymnia	Polyhymnia
Polymer	Polymer
Polynésie	Polynesia
Polynom	Polynomial
Polyteismus	Polytheism
Polyvinylchlorid	Polyvinyl chloride
Granátové jablko	Pomegranate
Pompeje	Pompeii
Pompeius	Pompey
Pilát Pontský	Pontius Pilate
Pop art	Pop art
Pop music	Pop music
Papež	Pope
Alexandr VI.	Pope Alexander VI
Topol	Poplar
Obyvatelstvo	Population
Populismus	Populism
Porcelán	Porcelain
Pornografie	Pornography
Přístav	Port
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland	Portland
Porto	Porto
Portrét	Portrait
Portsmouth	Portsmouth
Portugalsko	Portugal
Kategorie:Portugalsko	Portugal
Poseidón	Poseidon
Pozitron	Positron
Poštovní známka	Postage stamp
Poštovní směrovací číslo	Postal code
Postmoderna	Postmodernism
Draslík	Potassium
Dusičnan draselný	Potassium nitrate
Lilek brambor	Potato
Potenciální energie	Potential energy
Postupim	Potsdam
Libra (hmotnost)	Pound (mass)
Libra šterlinků	Pound sterling
Chudoba	Poverty
Výkon	Power (physics)
Elektrárna	Power station
Praetor	Praetor
Praha	Prague
Kategorie:Praha	Prague
Praia	Praia
Praseodym	Praseodymium
Modlitba	Prayer
Prekambrium	Precambrian
Precese	Precession
Srážky	Precipitation (meteorology)
Těhotenství	Pregnancy
Pravěk	Prehistory
Kategorie:Pravěk	Prehistory
Prezident	President
Prezident Spojených států amerických	President of the United States
Tlak	Pressure
Pretoria	Pretoria
Priamos	Priam
Cena	Price
Kněz	Priest
Primáti	Primate
Kategorie:Primáti	Primates
Základní poledník	Prime Meridian
Předseda vlády	Prime minister
Prvočíslo	Prime number
Ostrov prince Edwarda	Prince Edward Island
Philip, vévoda z Edinburghu	Prince Philip
Princ z Walesu	Prince of Wales
Princeton University	Princeton University
Teorie relativity	Principle of relativity
Knihtisk	Printing
Prion	Prion
Hranol	Prism (geometry)
Optický hranol	Prism (optics)
Věznice	Prison
Válečný zajatec	Prisoner of war
Pravděpodobnost	Probability
Teorie pravděpodobnosti	Probability theory
Kategorie:Pravděpodobnost	Probability theory
Medvídkovití	Procyonidae
Profesor	Professor
Zisk	Profit
Programátor	Programmer
Programovací jazyk	Programming language
Progressive rock	Progressive rock
Projekt	Project
Prokaryota	Prokaryote
Prolog (programovací jazyk)	Prolog
Prométheus	Prometheus
Promethium	Promethium
Zájmeno	Pronoun
Propaganda	Propaganda
Propan	Propane
Prorok	Prophet
Próza	Prose
Předstojná žláza	Prostate
Protaktinium	Protactinium
Protektorát	Protectorate
Bílkovina	Protein
Proterozoikum	Proterozoic
Reformace	Protestant Reformation
Protestantství	Protestantism
Protisté	Protist
Kategorie:Protisté	Protista
Protokol	Protocol
Proton	Proton
Prvoci	Protozoa
Proxima Centauri	Proxima Centauri
Slivoň	Prunus
Prusko	Prussia
Kniha žalmů	Psalms
Pseudonym	Pseudonym
Kategorie:Pseudověda	Pseudoscience
Pseudověda	Pseudoscience
Psoriáza	Psoriasis
Psychiatrie	Psychiatry
Kategorie:Psychiatrie	Psychiatry
Psychoanalýza	Psychoanalysis
Psychologie	Psychology
Kategorie:Psychologie	Psychology
Psychóza	Psychosis
Psychoterapie	Psychotherapy
Ptah	Ptah
Ptakoještěři	Pterosaur
Ptolemaiovci	Ptolemaic dynasty
Klaudios Ptolemaios	Ptolemy
Puberta	Puberty
Volné dílo	Public domain
Public relations	Public relations
Portoriko	Puerto Rico
Kategorie:Portoriko	Puerto Rico
Pula	Pula
Kladka	Pulley
Pulsar	Pulsar
Čerpadlo	Pump
Interpunkční znaménko	Punctuation
Paňdžáb (indický stát)	Punjab (India)
Kategorie:Punk	Punk
Punk	Punk rock
Souhvězdí Lodní zádě	Puppis
Pchjongjang	Pyongyang
Pyramida	Pyramid
Jehlan	Pyramid (geometry)
Pyreneje	Pyrenees
Pyrit	Pyrite
Pyrrhovo vítězství	Pyrrhic victory
Pythagoras	Pythagoras
Python	Python (programming language)
Souhvězdí Kompasu	Pyxis
Q	Q
Katar	Qatar
Kategorie:Katar	Qatar
Dynastie Čchin	Qin Dynasty
Dynastie Čching	Qing Dynasty
Kvadratická rovnice	Quadratic equation
Čtyřúhelník	Quadrilateral
Quaestor	Quaestor
Kvantová teorie pole	Quantum field theory
Kvantová mechanika	Quantum mechanics
Karanténa	Quarantine
Kvark	Quark
Křemen	Quartz
Kvasar	Quasar
Čtvrtohory	Quaternary
Kvaternion	Quaternion
Québec (provincie)	Quebec
Kategorie:Québec (provincie)	Quebec
Québec	Quebec City
Kečuánština	Quechua
Dáma (šachy)	Queen (chess)
Queens	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Otazník	Question mark
Kdouloň obecná	Quince
Quito	Quito
R	R
RAF	RAF (disambiguation)
RAID	RAID
RNA	RNA
Re (bůh)	Ra
Rabat	Rabat
Rabín	Rabbi
Rabíndranáth Thákur	Rabindranath Tagore
Psík mývalovitý	Raccoon Dog
Rachel Carson	Rachel Carson
Rasismus	Racism
Kategorie:Rasismus	Racism
Radar	Radar
Radián	Radian
Kategorie:Rozhlas	Radio
Radioteleskop	Radio telescope
Radioaktivita	Radioactive decay
Radiokarbonová metoda datování	Radiocarbon dating
Radiologie	Radiology
Radium	Radium
Poloměr	Radius
Radon	Radon
Déšť	Rain
Duha	Rainbow
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh	Raleigh
Ramadán	Ramadan
Rámájana	Ramayana
Ramesse II.	Ramesses II
RAM	Random access memory
Pryskyřníkovité	Ranunculaceae
Znásilnění	Rape
Brukev řepka	Rapeseed
Rafael Santi	Raphael
Rafael (archanděl)	Raphael (archangel)
Kategorie:Metro	Rapid transit
Rattus	Rat
Racionální číslo	Rational number
Ravenna	Ravenna
Rávalpindí	Rawalpindi
Ray Bradbury	Ray Bradbury
ROM	Read-only memory
Reálné číslo	Real number
Recese	Recession
Obdélník	Rectangle
Usměrňovač	Rectifier
Rekurze	Recursion
Recyklace	Recycling
Červená	Red
Frakce Rudé armády	Red Army Faction
Jelen lesní	Red Deer
Liška obecná (šelma)	Red Fox
Panda červená	Red Panda
Rudé moře	Red Sea
Ruduchy	Red algae
Červená krvinka	Red blood cell
Červený trpaslík (hvězda)	Red dwarf
Červený obr	Red giant
Rudý posuv	Redshift
Rudý posuv	Redshift (disambiguation)
RISC	Reduced instruction set computer
Referendum	Referendum
Lom vlnění	Refraction
Index lomu	Refractive index
Uprchlík	Refugee
Regent	Regent
Reggae	Reggae
Pluk	Regiment
Regina (Saskatchewan)	Regina
Region	Region
Remeš	Reims
Znovuzrozování	Reincarnation
Sob polární	Reindeer
Relace (matematika)	Relation (mathematics)
Elektromagnetické relé	Relay
Náboženství	Religion
Kategorie:Náboženství	Religion
Kvakeři	Religious Society of Friends
Rembrandt van Rijn	Rembrandt
Renesance	Renaissance
Kategorie:Renesance	Renaissance
Rozmnožování	Reproduction
Plazi	Reptile
Republika	Republic
Tchaj-wan	Republic of China
Irsko	Republic of Ireland
Kategorie:Irsko	Republic of Ireland
Republika Kongo	Republic of the Congo
Kategorie:Republika Kongo	Republic of the Congo
Republikánská strana (USA)	Republican Party (United States)
Requiem	Requiem
Rezistor	Resistor
Dýchací soustava	Respiratory system
Souhvězdí Sítě	Reticulum
Sítnice	Retina
Vitamín A	Retinol
Revoluce	Revolution
Revolver	Revolver
Rhea (měsíc)	Rhea (moon)
Rheia	Rhea (mythology)
Rhenium	Rhenium
Rétorika	Rhetoric
Kategorie:Rétorika	Rhetoric
Rýn	Rhine
Nosorožcovití	Rhinoceros
Rhode Island	Rhode Island
Rhodos	Rhodes
Rhodium	Rhodium
Kosočtverec	Rhombus
Rým	Rhyme
Rytmus (hudba)	Rhythm
Rhythm and blues	Rhythm and blues
Žebro	Rib
Riboflavin	Riboflavin
Ribozom	Ribosome
Rýže	Rice
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright	Richard Wright (musician)
Richmond	Richmond
Riga	Riga
Rigel	Rigel
Rektascenze	Right ascension
Okruh (algebra)	Ring (mathematics)
Ringo Starr	Ringo Starr
Rio Grande (Mexický záliv)	Rio Grande
Rio de Janeiro	Rio de Janeiro
Řeka	River
Temže	River Thames
Rijád	Riyadh
Silnice	Road
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert A. Heinlein
Robert Andrews Millikan	Robert Andrews Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert Edward Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Hornina	Rock (geology)
Rock and roll	Rock and roll
Rock	Rock music
Kategorie:Rock	Rock music
Raketa	Rocket
Skalnaté hory	Rocky Mountains
Rokoko	Rococo
Hlodavci	Rodent
Srnec obecný	Roe Deer
Roentgenium	Roentgenium
Roger Bacon	Roger Bacon
Římskokatolická církev	Roman Catholic Church
Starověký Řím	Roman Empire
Římský kalendář	Roman calendar
Římské právo	Roman law
Legie	Roman legion
Římská mytologie	Roman mythology
Kategorie:Římská mytologie	Roman mythology
Rumunsko	Romania
Kategorie:Rumunsko	Romania
Rétorománština	Romansh
Romantismus	Romanticism
Řím	Rome
Kategorie:Řím	Rome
Ronald Reagan	Ronald Reagan
Střecha	Roof
Věž (šachy)	Rook (chess)
Roosevelt	Roosevelt
Kořen	Root
Rosa Parksová	Rosa Parks
Růžovité	Rosaceae
Růženec	Rosary
Růže	Rose
Rozmarýna lékařská	Rosemary
Rosettská deska	Rosetta Stone
Roš ha-šana	Rosh Hashanah
Rossovo moře	Ross Sea
Rostock	Rostock
Vířníci	Rotifer
Rotterdam	Rotterdam
Router	Router
Veslování	Rowing (sport)
Royal Air Force	Royal Air Force
Pryž	Rubber
Rubikon	Rubicon
Rubidium	Rubidium
Rubl	Ruble
Ostružiník maliník	Rubus idaeus
Rubín	Ruby
Ruby	Ruby (programming language)
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Ragby	Rugby football
Rupert Murdoch	Rupert Murdoch
Rusko	Russia
Kategorie:Rusko	Russia
Ruská pravoslavná církev	Russian Orthodox Church
Rusko-japonská válka	Russo-Japanese War
Ruthenium	Ruthenium
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Rutherfordium
Rwanda	Rwanda
Kategorie:Rwanda	Rwanda
Žito	Rye
S	S
Simple Object Access Protocol	SOAP
SOS (tísňový signál)	SOS
Svátost	Sacrament
Sacramento (Kalifornie)	Sacramento
Saddám Husajn	Saddam Hussein
Safari (webový prohlížeč)	Safari (web browser)
Šafrán setý	Saffron
Souhvězdí Šípu	Sagitta
Souhvězdí Střelce	Sagittarius (constellation)
Sahara	Sahara
Svatý	Saint
Svatý Ondřej	Saint Andrew
Svatý Jiří (světec)	Saint George
Svatý Kryštof a Nevis	Saint Kitts and Nevis
Kategorie:Svatý Kryštof a Nevis	Saint Kitts and Nevis
Řeka svatého Vavřince	Saint Lawrence River
Svatá Lucie	Saint Lucia
Kategorie:Svatá Lucie	Saint Lucia
Svatý Martin (ostrov)	Saint Martin
Svatý Mikuláš	Saint Nicholas
Svatý Patrik	Saint Patrick
Petr (apoštol)	Saint Peter
Petrohrad	Saint Petersburg
Kategorie:Petrohrad	Saint Petersburg
Svatý Vincenc a Grenadiny	Saint Vincent and the Grenadines
Kategorie:Svatý Vincenc a Grenadiny	Saint Vincent and the Grenadines
Sake	Sake
Saladin	Saladin
Salát (islám)	Salah
Salem (Oregon)	Salem
Salerno	Salerno
Slina	Saliva
Salman Rushdie	Salman Rushdie
Soli	Salt (chemistry)
Salt Lake City	Salt Lake City
Salzburg	Salzburg
Salcbursko	Salzburg (state)
Samara	Samara
Samarium	Samarium
Samarkand	Samarkand
Samoa	Samoa
Kategorie:Samoa	Samoa
Samsára	Samsara
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel F. B. Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samuraj	Samurai
San Antonio	San Antonio
San Diego (Kalifornie)	San Diego
San Francisco	San Francisco
San José (Kalifornie)	San Jose
San Juan (Portoriko)	San Juan
San Marino	San Marino
Kategorie:San Marino	San Marino
San Marino (město)	San Marino
San Salvador	San Salvador
Písek (materiál)	Sand
Sandro Botticelli	Sandro Botticelli
Pískovec	Sandstone
Sanskrt	Sanskrit
Santa Claus	Santa Claus
Santa Fé	Santa Fe
Santiago de Chile	Santiago
Santo Domingo	Santo Domingo
Santos	Santos (Săo Paulo)
Safír	Sapphire
Sapfó	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Saratov	Saratov
Sarkofág	Sarcophagus
Sardinie	Sardinia
Sarin	Sarin
Saskatchewan	Saskatchewan
Satan	Satan
Satanismus	Satanism
Umělá družice	Satellite
Satira	Satire
Sobota	Saturday
Saturn (planeta)	Saturn
Kategorie:Saturn	Saturn
Saturn	Saturn (disambiguation)
Satyr	Satyr
Omáčka	Sauce
Saúdská Arábie	Saudi Arabia
Kategorie:Saúdská Arábie	Saudi Arabia
Saul Bellow	Saul Bellow
Párek	Sausage
Savana	Savanna
Sasko	Saxony
Kategorie:Sasko	Saxony
Saxofon	Saxophone
Skandinávie	Scandinavia
Kategorie:Skandinávie	Scandinavia
Skandinávský poloostrov	Scandinavian Peninsula
Skandium	Scandium
Lopatka	Scapula
Šelda	Scheldt
Scheme	Scheme (programming language)
Schizofrenie	Schizophrenia
Scholastika	Scholasticism
Škola	School
Schutzstaffel	Schutzstaffel
Věda	Science
Kategorie:Věda	Science
Science fiction	Science fiction
Kategorie:Science fiction	Science fiction
Vědecká metoda	Scientific method
Vědec	Scientist
Scientologie	Scientology
Scipio Africanus	Scipio Africanus
Nůžky	Scissors
Veverkovití	Sciuridae
Štíři	Scorpion
Souhvězdí Štíra	Scorpius
Skotsko	Scotland
Kategorie:Skotsko	Scotland
Borovice lesní	Scots Pine
Skotská gaelština	Scottish Gaelic
Skauting	Scouting
Scrabble	Scrabble
Šroub	Screw
Šroubovák	Screwdriver
Šourek	Scrotum
Souhvězdí Sochaře	Sculptor (constellation)
Socha	Sculpture
Kategorie:Sochařství	Sculpture
Moře	Sea
Vydra mořská	Sea Otter
Sasanky	Sea anemone
Azovské moře	Sea of Azov
Japonské moře	Sea of Japan
Marmarské moře	Sea of Marmara
Ježovky	Sea urchin
Seaborgium	Seaborgium
Internetový vyhledávač	Search engine
Sears Tower	Sears Tower
Roční období	Season
Seattle	Seattle
Sekunda	Second
Druhá křížová výprava	Second Crusade
2. vatikánský koncil	Second Vatican Council
Druhý termodynamický zákon	Second law of thermodynamics
Sekta	Sect
Kategorie:Bezpečnost	Security
Sedimentární hornina	Sedimentary rock
Semeno	Seed
Seina	Seine
Seismologie	Seismology
Kategorie:Seismologie	Seismology
Seléné	Selene
Selen	Selenium
Seleukos I. Níkátor	Seleucus I Nicator
Sémantika	Semantics
Kategorie:Sémantika	Semantics
Ejakulát	Semen
Středník	Semicolon
Polovodič	Semiconductor
Sémiotika	Semiotics
Semité	Semitic
Senát	Senate
Senegal	Senegal
Kategorie:Senegal	Senegal
Soul	Seoul
Seppuku	Seppuku
Září	September
11. září	September 11
Teroristické útoky 11. září 2001	September 11
17. září	September 17
29. září	September 29
Septuaginta	Septuagint
Srbsko	Serbia
Kategorie:Srbsko	Serbia
Srbsko a Černá Hora	Serbia and Montenegro
Kategorie:Srbsko a Černá Hora	Serbia and Montenegro
Nevolnictví	Serfdom
Sergej Michajlovič Ejzenštejn	Sergei Eisenstein
Sergej Rachmaninov	Sergei Rachmaninoff
Řada (matematika)	Series (mathematics)
Serin	Serine
Serotonin	Serotonin
Souhvězdí Hada	Serpens
Server	Server (computing)
Množina	Set
Sutech	Set (mythology)
Teorie množin	Set theory
Kategorie:Teorie množin	Set theory
Sevastopol	Sevastopol
Sedmiletá válka	Seven Years' War
SARS	Severe acute respiratory syndrome
Sevilla	Seville
Pohlavnost	Sex
Genitálie	Sex organ
Sexismus	Sexism
Sextant	Sextant
Pohlavní styk	Sexual intercourse
Kategorie:Sexualita	Sexuality
Sexuálně přenosná nemoc	Sexually transmitted disease
Seychely	Seychelles
Kategorie:Seychely	Seychelles
Šanghaj	Shanghai
Akcie	Share (finance)
Shareware	Shareware
Šaría	Sharia
Žraloci	Shark
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetlandy	Shetland
Štít	Shield
Šikoku	Shikoku
Šintoismus	Shinto
Loď	Ship
Šiva	Shiva
Šógi	Shogi
Šógun	Shogun
Těsnopis	Shorthand
Keř	Shrub
Sibiř	Siberia
Sibiřský husky	Siberian Husky
S'-čchuan	Sichuan
Sicílie	Sicily
Kategorie:Sicílie	Sicily
Siemens (jednotka)	Siemens (unit)
Sierra Leone	Sierra Leone
Kategorie:Sierra Leone	Sierra Leone
Sigma	Sigma
Sigmund Freud	Sigmund Freud
Znakový jazyk	Sign language
Sigrid Undsetová	Sigrid Undset
Sikhismus	Sikhism
Sikkim	Sikkim
Slezsko	Silesia
Křemík	Silicon
Silicon Valley	Silicon Valley
Oxid křemičitý	Silicon dioxide
Hedvábí	Silk
Hedvábná stezka	Silk Road
Silur	Silurian
Stříbro	Silver
Simone de Beauvoirová	Simone de Beauvoir
Hřích	Sin
Sinaj (poloostrov)	Sinai Peninsula
Sinclair Lewis	Sinclair Lewis
Singapur	Singapore
Kategorie:Singapur	Singapore
Singl	Single (music)
Sirény	Sirenia
Sírius	Sirius
Sixtinská kaple	Sistine Chapel
Sisyfos	Sisyphus
Sedící býk	Sitting Bull
Sitcom	Situation comedy
Šestidenní válka	Six-Day War
Skagerrak	Skagerrak
Skateboard	Skateboard
Kategorie:Kosterní soustava	Skeletal system
Skepticismus	Skepticism
Kůže	Skin
Skinhead	Skinhead
Skopje	Skopje
Lebka	Skull
Skylab	Skylab
Mrakodrap	Skyscraper
Slash	Slash (musician)
Otrokářství	Slavery
Slayer	Slayer
Spánek	Sleep
Slovensko	Slovakia
Kategorie:Slovensko	Slovakia
Slovinsko	Slovenia
Kategorie:Slovinsko	Slovenia
Tenké střevo člověka	Small intestine
Smog	Smog
Smolensk	Smolensk
Hadi	Snake
Snooker	Snooker
Sníh	Snow
Mýdlo	Soap
Sociální psychologie	Social psychology
Socialismus	Socialism
Kategorie:Socialismus	Socialism
Parti socialiste	Socialist Party (France)
Kategorie:Společnost	Society
Společnost (podnikání)	Society
Tovaryšstvo Ježíšovo	Society of Jesus
Sociologie	Sociology
Kategorie:Sociologie	Sociology
Sókratés	Socrates
Sodík	Sodium
Hydrogenuhličitan sodný	Sodium bicarbonate
Chlorid sodný	Sodium chloride
Hydroxid sodný	Sodium hydroxide
Sofie	Sofia
Softball	Softball
Kategorie:Software	Software
Půda (pedologie)	Soil
Sluneční soustava	Solar System
Kategorie:Sluneční soustava	Solar System
Fotovoltaický článek	Solar cell
Zatmění Slunce	Solar eclipse
Sluneční energie	Solar energy
Sluneční vítr	Solar wind
Pevná látka	Solid
Pevná látka	Solid state
Solidarita	Solidarity
Šalomoun	Solomon
Šalamounovy ostrovy	Solomon Islands
Kategorie:Šalamounovy ostrovy	Solomon Islands
Solón	Solon
Slunovrat	Solstice
Homogenní směs	Solution
Rozpouštědlo	Solvent
Somálsko	Somalia
Kategorie:Somálsko	Somalia
Somerset	Somerset
Sonáta	Sonata
Píseň	Song
Píseň písní	Song of Solomon
Sonet	Sonnet
Sofia Lorenová	Sophia Loren
Sofisté	Sophism
Sofoklés	Sophocles
Soprán	Soprano
Sorbona	Sorbonne
Čirok	Sorghum
Řadicí algoritmus	Sorting algorithm
Duše	Soul
Zvuk	Sound
Polévka	Soup
Zdrojový kód	Source code
Jih	South
Kategorie:Jihoafrická republika	South Africa
Jižní Amerika	South America
Kategorie:Jižní Amerika	South America
Jižní Austrálie	South Australia
Jižní Karolína	South Carolina
Jihočínské moře	South China Sea
Jižní Dakota	South Dakota
Kategorie:Jižní Dakota	South Dakota
Jižní ostrov (Nový Zéland)	South Island
Jižní Korea	South Korea
Kategorie:Jižní Korea	South Korea
Jižní pól	South Pole
Vietnamská republika	South Vietnam
Jihovýchodní Asie	Southeast Asia
Jižní polokoule	Southern Hemisphere
Suverenita	Sovereignty
Sovětský svaz	Soviet Union
Kategorie:Sovětský svaz	Soviet Union
Sója	Soybean
Space Shuttle	Space Shuttle
Vesmírná stanice	Space station
Kosmická loď	Spacecraft
Špagety	Spaghetti
Španělsko	Spain
Kategorie:Španělsko	Spain
Spam	Spam (electronic)
Španělská občanská válka	Spanish Civil War
Kategorie:Španělé	Spanish people
Španělsko-americká válka	Spanish-American War
Sparta	Sparta
Kopí	Spear
Speciální teorie relativity	Special relativity
Druh (biologie)	Species
Spektroskopie	Spectroscopy
Rychlost světla	Speed of light
Speleologie	Speleology
Spencer Tracy	Spencer Tracy
Vorvaň obrovský	Sperm Whale
Semenné rostliny	Spermatophyte
Spermie	Spermatozoon
Koule	Sphere
Sfinx	Sphinx
Koření	Spice
Pavouci	Spider
Spin	Spin (physics)
Špenát	Spinach
Mícha	Spinal cord
Spirální galaxie	Spiral galaxy
Slezina	Spleen
Split	Split
Houbovci	Sponge
Sport	Sport
Tabulkový procesor	Spreadsheet
Spréva	Spree
Jaro	Spring (season)
Spyware	Spyware
Šupinatí	Squamata
Čtverec	Square (geometry)
Metr čtvereční	Square metre
Druhá odmocnina	Square root
Squash	Squash (sport)
Veverka	Squirrel
Šrí Lanka	Sri Lanka
Kategorie:Šrí Lanka	Sri Lanka
St. Louis	St. Louis
Stadion	Stadium
Vitraj	Stained glass
Stalinismus	Stalinism
Standard Generalized Markup Language	Standard Generalized Markup Language
Směrodatná odchylka	Standard deviation
Stanford University	Stanford University
Stanley Kubrick	Stanley Kubrick
Hvězda	Star
Davidova hvězda	Star of David
Škrob	Starch
Stát	State
Staten Island	Staten Island
Statistika	Statistics
Kategorie:Statistika	Statistics
Socha Svobody	Statue of Liberty
Stavanger	Stavanger
Pára	Steam
Parní stroj	Steam engine
Ocel	Steel
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegosaurus
Kmenová buňka	Stem cell
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Step	Steppe
Steradián	Steradian
Hrudní kost	Sternum
Steroidy	Steroid
Steven Spielberg	Steven Spielberg
Sting	Sting
Burza	Stock exchange
Stockholm	Stockholm
Stoicismus	Stoicism
Žaludek	Stomach
Doba kamenná	Stone Age
Stonehenge	Stonehenge
Čáp	Stork
Bouře (meteorologie)	Storm
Průliv	Strait
Gibraltarský průliv	Strait of Gibraltar
Hormuzský průliv	Strait of Hormuz
Magalhãesův průliv	Strait of Magellan
Messinská úžina	Strait of Messina
Kategorie:Průlivy	Straits
Štrasburk	Strasbourg
Strategie	Strategy
Stratigrafie	Stratigraphy
Stratosféra	Stratosphere
Jahodník	Strawberry
Stres	Stress (medicine)
Silná interakce	Strong interaction
Stroncium	Strontium
Strukturalismus	Structuralism
Šablona:Pahýl	Stub
Student	Student
Stúpa	Stupa
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Styx	Styx
Subsaharská Afrika	Sub-Saharan Africa
Subkultura	Subculture
Sublimace	Sublimation (chemistry)
Ponorka	Submarine
Podmnožina	Subset
Odčítání	Subtraction
Subversion	Subversion (software)
Sucre	Sucre
Sacharóza	Sucrose
Súdán	Sudan
Kategorie:Súdán	Sudan
Sudoku	Sudoku
Suezský průplav	Suez Canal
Sufix	Suffix
Suharto	Suharto
Celebes	Sulawesi
Síra	Sulfur
Oxid siřičitý	Sulfur dioxide
Yperit	Sulfur mustard
Kyselina sírová	Sulfuric acid
Sultán	Sultan
Sumatra	Sumatra
Sumer	Sumer
Léto	Summer
Sumó	Sumo
Slunce	Sun
Kategorie:Slunce	Sun
Sunjatsen	Sun Yat-sen
Neděle	Sunday
Sluneční hodiny	Sundial
Slunečnice roční	Sunflower
Sunnité	Sunni Islam
Sluneční skvrna	Sunspot
Superpočítač	Supercomputer
Supravodivost	Superconductivity
Superman	Superman
Supernova	Supernova
Nejvyšší soud Spojených států amerických	Supreme Court of the United States
Súra	Sura
Povrchové napětí	Surface tension
Chirurgie	Surgeon
Chirurgie	Surgery
Kategorie:Chirurgie	Surgery
Surinam	Suriname
Kategorie:Surinam	Suriname
Surrealismus	Surrealism
Susan Sontagová	Susan Sontag
Suši	Sushi
Suva	Suva
Špicberky	Svalbard
Vlaštovkovití	Swallow
Labuť	Swan
Svastika	Swastika
Svazijsko	Swaziland
Kategorie:Svazijsko	Swaziland
Švédsko	Sweden
Kategorie:Švédsko	Sweden
Švédská koruna	Swedish krona
Povijnice batátová	Sweet potato
